metric,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
count,359.0,359.0,359.0,359.0,359.0
mean,443.42896935933146,11.43175487465181,7982448.0,0.005555049896464487,0.00014321114117688983
std,532.7191026112389,16.181415472335825,0.0,0.0066736307284587255,0.00020271244450744715
min,1.0,0.0,7982448.0,1.2527485302754243e-05,0.0
25%,61.5,0.0,7982448.0,0.0007704403461193858,0.0
50%,157.0,3.0,7982448.0,0.001966815192532416,3.758245590826273e-05
75%,826.0,19.0,7982448.0,0.010347702860075005,0.00023802222075233062
max,2243.0,76.0,7982448.0,0.028099149534077765,0.0009520888830093225
