metric,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
count,310.0,310.0,310.0,310.0,310.0
mean,75.6,2.232258064516129,1609675.0,0.0046966002453911505,0.00013867756314263005
std,105.78824792035384,4.5826736516213815,0.0,0.006572025279659177,0.00028469558461312875
min,1.0,0.0,1609675.0,6.21243418702533e-05,0.0
25%,4.0,0.0,1609675.0,0.0002484973674810132,0.0
50%,15.5,0.0,1609675.0,0.0009629272989889262,0.0
75%,122.75,2.0,1609675.0,0.007625762964573593,0.0001242486837405066
max,554.0,29.0,1609675.0,0.03441688539612033,0.0018016059142373462
