metric,absolute_infections,absolute_deaths,population,infections_(per_100.000),deaths_(per_100.000)
count,310.0,310.0,310.0,310.0,310.0
mean,75.6,2.232258064516129,1609675.0,4.696600245391153,0.13867756314263
std,105.78824792035384,4.5826736516213815,0.0,6.572025279659179,0.2846955846131288
min,1.0,0.0,1609675.0,0.062124341870253307,0.0
25%,4.0,0.0,1609675.0,0.24849736748101323,0.0
50%,15.5,0.0,1609675.0,0.9629272989889264,0.0
75%,122.75,2.0,1609675.0,7.625762964573594,0.12424868374050661
max,554.0,29.0,1609675.0,34.416885396120335,1.8016059142373462
