Date,ISO3166-2,Relative Humidity Surface,Solar Radiation,Surface Pressure,Temperature Above Ground,Total Precipiation,UV-Index,Wind Speed
2020-02-13,DE-HH,86.685698,209488.601444,2404975.492424,275.735476,0.005799,3.242424,4.363794
2020-02-14,DE-HH,88.134403,421732.121686,2430409.664773,277.442865,0.000558,1.454545,2.1116479999999997
2020-02-15,DE-HH,73.933617,2779090.399621,2427348.566288,281.203975,0.000143,3.090909,5.741193
2020-02-16,DE-HH,70.930334,15573.014393000001,2390072.143939,285.525946,0.006314999999999999,0.166667,9.008302
2020-02-17,DE-HH,69.350916,4127214.0625,2410040.958333,280.937027,0.002153,3.863636,7.758239
2020-02-18,DE-HH,76.28406,3315887.227273,2424064.835227,279.516859,0.003621,3.7727269999999997,7.061869000000001
2020-02-19,DE-HH,82.58459599999999,2604688.414773,2420893.8617419996,278.464513,0.005407,3.166667,6.2868059999999995
2020-02-20,DE-HH,87.370958,115303.13447,2417258.460227,278.85078500000003,0.007386,2.007576,5.753251000000001
2020-02-21,DE-HH,80.352713,1634859.5123110001,2433221.0757580004,278.92661,0.002875,3.939394,6.485069
2020-02-22,DE-HH,74.859406,17525.794515,2418550.901515,280.80808199999996,0.006299,1.7575759999999998,8.835385
2020-02-23,DE-HH,83.397853,342.506841,2411910.102273,278.463414,0.013405000000000002,2.393939,5.947001
2020-02-24,DE-HH,88.103755,83699.240353,2414361.3617419996,278.215117,0.011045000000000001,3.015152,5.349211
2020-02-25,DE-HH,75.631439,5095071.636364,2375531.886364,278.986488,0.001527,4.068182,7.818687
2020-02-26,DE-HH,85.26998,2461035.696023,2378708.609848,276.017577,0.001816,5.022727,3.59315
2020-02-27,DE-HH,82.867173,2465456.520833,2392690.920455,276.436744,0.001164,5.060606,3.620044
2020-02-28,DE-HH,77.99839,5420722.246212,2413519.960227,277.427774,0.00399,5.015152,4.957669999999999
2020-02-29,DE-HH,81.244477,3363545.318182,2371638.854167,280.330521,0.009256,5.484848,6.235575
2020-03-01,DE-HH,72.096843,3368325.026515,2371569.412879,278.927053,0.001033,4.075758,5.969066000000001
2020-03-02,DE-HH,75.39413,2814114.380682,2373185.50947,279.399908,0.001498,6.0,3.025316
2020-03-03,DE-HH,81.420581,2331861.874053,2391717.653409,278.438675,0.005945000000000001,4.977273,3.107576
2020-03-04,DE-HH,86.168335,2510781.964962,2410952.780303,276.970617,0.000469,4.090909,2.823611
2020-03-05,DE-HH,76.590812,5058920.719697,2392394.399621,278.330461,0.000391,7.106061,3.441477
2020-03-06,DE-HH,85.060829,7613.704490000001,2381368.954545,277.586583,0.009128,4.136364,4.800568
2020-03-07,DE-HH,78.98649,4396946.075758,2424213.560606,277.644002,0.00013700000000000002,5.689394,3.9823230000000005
2020-03-08,DE-HH,74.73210300000001,1511112.164773,2417153.168561,281.470548,0.000947,4.409091,5.304956
2020-03-09,DE-HH,84.025726,2196064.298295,2414244.399621,280.823262,0.0038729999999999997,6.090909,3.75947
2020-03-10,DE-HH,89.817709,82702.44114,2392366.087121,281.278638,0.012119,5.818182,6.207071
2020-03-11,DE-HH,70.270992,5485565.856061,2406263.270833,282.847797,0.000489,10.0,6.035322
2020-03-12,DE-HH,69.122917,7101636.17803,2399214.965909,280.965944,0.004609,9.439394,8.128946000000001
2020-03-13,DE-HH,76.31007,4598468.306818,2416739.443182,278.255775,0.003693,7.090909,7.220391
2020-03-14,DE-HH,71.194349,7247069.818182001,2445146.1742419996,276.908177,3e-06,10.0,3.586932
2020-03-15,DE-HH,60.078662,4495496.727273,2426392.215909,282.552115,6e-06,7.772727000000001,5.526736
2020-03-16,DE-HH,71.277336,6311925.905303,2437028.471591,281.796056,0.0,10.628788,3.3100059999999996
2020-03-17,DE-HH,70.419412,5502994.69697,2454831.681818,280.848613,4e-06,10.189394,3.334975
2020-03-18,DE-HH,67.953818,805728.114583,2448157.869318,283.453658,0.000277,6.5,4.56714
2020-03-19,DE-HH,79.760763,1117950.36411,2453973.217803,280.862531,0.000634,7.4545449999999995,2.10202
2020-03-20,DE-HH,71.182891,953317.046875,2459792.469697,279.373584,0.000101,10.431818,3.3002839999999996
2020-03-21,DE-HH,60.053537,5971035.109848,2471594.761364,276.677744,1e-06,11.015152,4.777998999999999
2020-03-22,DE-HH,53.113322,11123367.659091,2481211.405303,275.97540699999996,0.0,13.0,4.332197
2020-03-23,DE-HH,46.710795000000005,13000093.204545,2483194.077652,275.474657,0.0,13.0,3.699968
2020-03-24,DE-HH,40.151201,13011018.719697,2476066.602273,276.911804,0.0,13.325757999999999,4.075032
2020-03-25,DE-HH,38.394034999999995,12007171.522727,2467081.181818,277.93545,0.0,13.969697,3.5364269999999998
2020-03-26,DE-HH,44.997759,13570397.098485,2458678.454545,278.41089500000004,0.0,14.734848000000001,3.993592
2020-03-27,DE-HH,55.691193000000005,13223660.689394,2451203.712121,280.548477,0.0,15.098485,4.129388
2020-03-28,DE-HH,61.619698,13401854.507576,2445555.581439,280.361771,2.5e-05,15.984848000000001,3.391604
2020-03-29,DE-HH,60.83945799999999,6119184.268939,2460664.55303,275.65567799999997,0.002558,11.174242,5.9252519999999995
