index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
8267,2020-07-15,DE-HE,76.401262,9410964.201741,2347823.474805,15.726898000000006,0.007506999999999999,28.764357,2.432867,Hessen
8321,2020-07-16,DE-HE,85.767972,300528.317752,2355613.628751,14.082446000000004,0.002584,20.929973999999998,1.673674,Hessen
8375,2020-07-17,DE-HE,71.853157,9052945.617636,2362264.563635,16.679595000000063,0.00034500000000000004,36.187477,1.7565979999999999,Hessen
8429,2020-07-18,DE-HE,59.301522999999996,9210261.706186999,2360694.1170799998,18.943465000000003,1.6e-05,39.839940999999996,1.4408889999999999,Hessen
8483,2020-07-19,DE-HE,55.830328,12173591.597258,2353521.79233,20.558947000000046,2.1e-05,39.552797,2.009071,Hessen
8537,2020-07-20,DE-HE,65.126976,14129403.409781,2357395.630233,18.401699000000065,0.00043,37.539459,2.990811,Hessen
8591,2020-07-21,DE-HE,54.486714,19052817.952205,2366999.426639,17.12867300000005,2.2e-05,46.044461,2.839277,Hessen
8645,2020-07-22,DE-HE,51.937769,18194086.605409,2364694.8138200003,17.34040200000004,0.00011200000000000001,44.494257,2.212165,Hessen
8699,2020-07-23,DE-HE,50.794018,19190504.367173,2353498.771397,18.602850000000046,1e-06,44.78066,2.125295,Hessen
8753,2020-07-24,DE-HE,51.220344,14472364.683587,2343818.4308080003,20.440178000000003,4.2e-05,37.339014,2.8252610000000002,Hessen
8807,2020-07-25,DE-HE,57.093711,8375294.595406,2344794.464617,20.798291000000063,0.00044500000000000003,32.374213,2.6888080000000003,Hessen
8861,2020-07-26,DE-HE,68.681216,9793814.429789,2345245.478511,19.25041200000004,0.010675,31.021489000000003,3.652683,Hessen
8915,2020-07-27,DE-HE,61.331564,10133856.15302,2348245.394313,20.177786000000026,0.00109,26.373842,2.803281,Hessen
8969,2020-07-28,DE-HE,54.263527,12033897.987773,2344813.2525009997,20.860113000000013,0.00016,35.331234,4.087404,Hessen
9023,2020-07-29,DE-HE,54.705897,17353972.327898998,2360528.3602259997,17.864225999999974,2.1e-05,40.346795,2.816866,Hessen
9077,2020-07-30,DE-HE,50.254749,20803182.034087,2362400.261764,19.87352900000002,0.0,40.465728000000006,1.897372,Hessen
9131,2020-07-31,DE-HE,45.405183,21300311.174509,2356287.2400889997,23.448639000000014,0.0,41.445721,1.955023,Hessen
9185,2020-08-01,DE-HE,56.000514,11511811.506299,2349625.100963,23.47389000000004,0.00217,34.397925,2.262282,Hessen
9239,2020-08-02,DE-HE,69.18339399999999,6479471.449055,2347879.648018,20.30334300000004,0.007808,26.674324,2.7018150000000003,Hessen
9293,2020-08-03,DE-HE,65.161873,7187898.696091,2344711.172471,17.355481999999995,0.000204,27.32123,2.49208,Hessen
9347,2020-08-04,DE-HE,57.763835,11343547.821045,2352344.178214,17.122836000000007,0.00014199999999999998,39.527972999999996,2.485405,Hessen
9401,2020-08-05,DE-HE,52.186702000000004,20488604.463134,2358154.874305,19.20719500000007,0.0,42.085217,2.274006,Hessen
9455,2020-08-06,DE-HE,48.232258,20544775.815487,2363441.849203,21.648033999999996,0.0,41.858096,1.977334,Hessen
9509,2020-08-07,DE-HE,45.388861999999996,20381167.081141,2363624.69146,24.206277,0.0,41.641349,1.843632,Hessen
9563,2020-08-08,DE-HE,46.338087,17759954.909226,2361596.667006,26.267697999999996,6.2e-05,41.445721,1.599784,Hessen
9617,2020-08-09,DE-HE,50.161375,12276971.813635001,2356589.405706,25.61399399999999,0.000796,37.670619,2.196207,Hessen
9671,2020-08-10,DE-HE,59.142393000000006,13585345.109114,2352616.928214,24.431797000000017,0.0017460000000000002,35.334198,3.052078,Hessen
9725,2020-08-11,DE-HE,60.245679,16019443.667654999,2354547.462671,24.68617900000004,0.000542,39.497962,3.1379,Hessen
9779,2020-08-12,DE-HE,63.524820999999996,12852617.759911,2352827.051686,23.97516200000001,0.002364,35.416451,2.875772,Hessen
9833,2020-08-13,DE-HE,77.27558,3042596.248981,2348158.021119,21.571620000000053,0.005098,24.717673,2.519132,Hessen
9887,2020-08-14,DE-HE,84.145284,3453264.076093,2348654.064098,20.33533,0.010431999999999999,24.521304,2.171503,Hessen
9941,2020-08-15,DE-HE,79.987993,9484933.804001,2349952.44146,20.83591800000005,0.005158,26.520193,1.779466,Hessen
9995,2020-08-16,DE-HE,71.289672,13495237.376436,2343174.777788,22.615001000000007,0.002348,35.757318,2.614217,Hessen
10049,2020-08-17,DE-HE,83.100757,6190013.558818,2340846.781493,19.140860000000032,0.005292,21.029641,2.242471,Hessen
10103,2020-08-18,DE-HE,74.452191,12444057.639125999,2342591.401908,18.75561300000004,0.001784,31.751389,2.44877,Hessen
