index,date,iso3166-2,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
4815,2020-05-12,DE-NW,61.700527,6548476.5031550005,2392136.1774279997,6.457118000000037,0.000139,30.401847999999998,2.222971
4869,2020-05-13,DE-NW,62.887978000000004,10570809.297949001,2382140.756818,7.845147999999995,0.001032,32.859364,2.5442110000000002
4923,2020-05-14,DE-NW,56.037606000000004,13884813.158215,2394914.919709,8.101724000000047,6e-06,36.091503,3.397686
4977,2020-05-15,DE-NW,58.212433999999995,17500992.25062,2400748.6117869997,8.563216000000011,2.6000000000000002e-05,31.552626,2.706919
5031,2020-05-16,DE-NW,58.224323999999996,10104012.355419999,2402968.483773,11.003141000000028,1.3000000000000001e-05,34.973856,2.634931
5085,2020-05-17,DE-NW,59.33976,13192600.15213,2406005.3165990002,12.008407000000034,2e-06,36.337841,2.314565
5139,2020-05-18,DE-NW,55.081504,15702162.353617001,2404074.354181,15.377372000000037,9e-06,36.93712,3.117687
5193,2020-05-19,DE-NW,55.128042,9276397.9476,2402066.714897,16.954444000000024,0.000339,35.498084000000006,2.586496
5247,2020-05-20,DE-NW,70.1181,5053136.222222,2404383.98259,15.640831000000048,0.00024300000000000002,24.03854,2.059307
5301,2020-05-21,DE-NW,59.085178000000006,20491329.774622,2401435.652355,18.113308000000018,1.4999999999999999e-05,38.950868,1.808841
5355,2020-05-22,DE-NW,68.233646,1523109.085939,2394801.5376939997,18.487141000000065,0.003691,33.000902,3.287572
5409,2020-05-23,DE-NW,57.12909200000001,5491504.101419999,2404298.959714,14.265417000000014,0.001564,32.485689,4.524761
5463,2020-05-24,DE-NW,75.772071,6934113.016453,2417202.751578,12.282411000000025,0.002869,23.742168,4.598706
5517,2020-05-25,DE-NW,70.799592,9515687.469912,2427801.0828259997,14.204139999999995,0.0008789999999999999,29.410412,3.8401940000000003
5571,2020-05-26,DE-NW,62.619372999999996,17858766.700023003,2433117.18819,14.270462000000009,4e-06,38.781609,1.838536
5625,2020-05-27,DE-NW,56.594424,13736721.948839,2428450.565078,16.46515099999999,2.7000000000000002e-05,39.906919,2.6453900000000004
5679,2020-05-28,DE-NW,52.019743,23085803.908497002,2426222.635001,14.407445999999993,0.0,41.104575,3.762667
5733,2020-05-29,DE-NW,49.653758,22546649.081811998,2415378.5539220003,15.139403000000016,0.0,41.339419,2.6617189999999997
5787,2020-05-30,DE-NW,45.84961,18321390.022538,2407149.6877389997,16.021912000000043,0.0,41.147397,3.163078
5841,2020-05-31,DE-NW,51.345946000000005,14132805.787582,2404721.701487,15.280439000000058,0.0,38.177597,3.2919099999999997
5895,2020-06-01,DE-NW,49.03225,23021013.224701002,2402572.0237209997,18.02376000000004,0.0,44.241378999999995,2.755863
5949,2020-06-02,DE-NW,46.232507,19257298.666216,2388719.707798,20.37307000000004,5e-06,42.129816999999996,2.0223259999999996
6003,2020-06-03,DE-NW,52.700441000000005,15363499.131620001,2361173.375254,19.41758900000002,0.00053,38.759747999999995,2.425241
6057,2020-06-04,DE-NW,86.785958,925108.911286,2342672.811866,12.914385000000038,0.008204000000000001,18.066937,2.970263
6111,2020-06-05,DE-NW,83.564102,6585027.8380660005,2340419.629536,9.502691000000027,0.010386,25.795582999999997,4.619783
6165,2020-06-06,DE-NW,64.938847,14824119.650439002,2352236.0742619997,11.684868000000051,0.003353,37.743520000000004,4.598857
6219,2020-06-07,DE-NW,63.046777,11334336.605477,2368971.329277,12.974722000000042,0.00112,35.242732000000004,3.731449
6273,2020-06-08,DE-NW,73.331446,12635567.62238,2384334.363196,13.622475000000009,0.002562,33.592968,2.124898
6327,2020-06-09,DE-NW,76.256603,8909216.889368,2391743.0135790003,13.786004000000048,0.001847,28.455263000000002,2.720599
6381,2020-06-10,DE-NW,78.80314399999999,6973099.750282001,2386548.1877389997,14.484589000000028,0.00134,28.222447999999996,2.065562
6435,2020-06-11,DE-NW,75.329351,7040989.337277001,2376718.86652,15.859046000000035,0.001744,33.191571,1.9603970000000002
6489,2020-06-12,DE-NW,66.410333,17047787.208474,2370514.972842,20.145425999999986,0.000646,45.539328000000005,3.39969
6543,2020-06-13,DE-NW,67.071083,13378629.161596,2376545.1503830003,20.994246000000032,0.005618,43.580121999999996,2.3641099999999997
6597,2020-06-14,DE-NW,83.047927,4843669.702726999,2383065.462024,18.163837000000058,0.011720999999999999,25.310345,2.848904
6651,2020-06-15,DE-NW,78.87688100000001,3522447.773355,2390013.590771,17.727141000000017,0.00515,32.435429,2.342836
6705,2020-06-16,DE-NW,83.40499399999999,2288473.266706,2387372.871986,17.447941000000014,0.003704,30.867253,1.6767029999999998
