index,date,iso3166-2,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
5240,2020-05-20,DE-BW,60.44084399999999,9546256.401895,2313873.836723,16.98510299999998,0.000256,35.900855,2.172357
5294,2020-05-21,DE-BW,61.641802,17239003.018951003,2316275.038364,17.565968000000055,3.4e-05,42.343194,1.8133110000000001
5348,2020-05-22,DE-BW,60.773956999999996,5321530.669748001,2317012.833199,19.094058000000018,0.000908,30.015715000000004,2.267377
5402,2020-05-23,DE-BW,83.608181,1307498.2504709999,2325170.431535,12.680922000000066,0.011746,21.063554,3.226755
5456,2020-05-24,DE-BW,65.89120799999999,12148472.283336999,2336999.885198,12.413824000000034,0.0008300000000000001,37.231107,3.7734940000000003
5510,2020-05-25,DE-BW,67.709513,10590826.630229,2339656.385429,13.32449900000006,0.000685,28.451352000000004,2.817967
5564,2020-05-26,DE-BW,62.003717,13903004.628495,2341899.673215,13.216118000000051,1.4000000000000001e-05,37.773053000000004,2.5392959999999998
5618,2020-05-27,DE-BW,54.069017,22356211.078345,2338720.4605380003,14.79727200000002,0.0,42.997227,2.562473
5672,2020-05-28,DE-BW,54.718515000000004,15603377.944997,2330330.00156,14.800534000000027,0.000758,41.298590000000004,3.033894
5726,2020-05-29,DE-BW,52.320951,13869863.806101002,2321944.546857,13.617612000000008,3.4e-05,41.695170000000005,3.884866
5780,2020-05-30,DE-BW,51.793608,13028402.661428,2313534.5693900003,13.572676999999999,4.2e-05,38.20453,3.8426139999999998
5834,2020-05-31,DE-BW,50.878183,15226003.560897,2311466.079385,13.949040000000025,0.0,41.33395,3.407267
5888,2020-06-01,DE-BW,49.837063,23112869.23596,2311136.733591,17.376064000000042,0.0,47.502889,3.5977059999999996
5942,2020-06-02,DE-BW,49.094302,22863853.24012,2302901.212041,18.598748,5e-05,46.559048,2.154515
5996,2020-06-03,DE-BW,56.145549,13598862.234343,2279737.7602259996,18.12017800000001,0.0025800000000000003,36.966258,2.356935
6050,2020-06-04,DE-BW,84.5717,1325608.7944450001,2262018.269471,13.996124000000066,0.009233,20.58031,3.255736
6104,2020-06-05,DE-BW,81.897827,6232874.741796,2268925.7481509997,11.399731000000031,0.006254,24.192512,4.731268
6158,2020-06-06,DE-BW,85.75833,1967437.6164630002,2278364.236538,12.33085299999999,0.008622,26.823203000000003,3.835868
6212,2020-06-07,DE-BW,81.052002,2554197.0387669997,2289061.7504040003,11.880870000000016,0.008115,27.211001,2.057044
6266,2020-06-08,DE-BW,70.230981,10383842.394846,2295846.55483,13.253131999999994,0.0017120000000000002,33.924890000000005,2.26167
6320,2020-06-09,DE-BW,85.62355,642024.597652,2298537.113011,12.158202000000017,0.005959000000000001,24.342038,2.7125220000000003
6374,2020-06-10,DE-BW,88.398385,1751737.1351759997,2295336.388086,12.658807000000024,0.006922,21.903628,2.388236
6428,2020-06-11,DE-BW,82.12460300000001,7203309.667957,2288476.2463020002,13.77234100000004,0.003321,26.939681,1.845403
6482,2020-06-12,DE-BW,64.14418,21712202.756644,2282626.1553040002,18.823709000000008,7.5e-05,48.80171,3.125289
6536,2020-06-13,DE-BW,67.37126500000001,11730228.407557001,2292741.87422,18.46938,0.004894,43.124798,3.288849
6590,2020-06-14,DE-BW,87.280263,1117781.362737,2302965.0835450003,14.41589300000004,0.012484,22.99168,3.968657
6644,2020-06-15,DE-BW,84.143271,3161979.584036,2307962.37682,15.19385699999998,0.005835,26.896002000000003,2.57344
6698,2020-06-16,DE-BW,85.451697,5036195.035533,2303344.228969,15.509262000000035,0.004267,27.061011999999998,1.65116
6752,2020-06-17,DE-BW,87.949161,3388610.12916,2294463.4756759997,14.86914500000006,0.015612000000000001,27.171713,2.64688
6806,2020-06-18,DE-BW,72.907133,14430247.6367,2299157.393286,15.737827999999979,0.0014199999999999998,44.851628999999996,2.481097
6860,2020-06-19,DE-BW,79.697855,4492667.235989,2308503.162584,14.746035000000006,0.004419,29.737462,2.517709
6914,2020-06-20,DE-BW,74.192709,14461489.600878,2315341.524266,15.993431000000044,0.00161,40.204066999999995,2.088134
6968,2020-06-21,DE-BW,65.914505,13402261.99584,2316414.301479,17.876777000000004,0.000261,48.278946000000005,1.9561709999999999
7022,2020-06-22,DE-BW,63.95551700000001,14760472.234110998,2322411.2068990003,18.931171000000006,0.00038500000000000003,45.363531,2.5821490000000002
7076,2020-06-23,DE-BW,60.705191000000006,20323895.207303,2321454.135371,19.59667900000005,4e-06,49.749249,2.671828
7130,2020-06-24,DE-BW,51.217621,23708225.690317,2315814.9243119997,20.25205900000003,0.0,49.732147,3.3216099999999997
7184,2020-06-25,DE-BW,58.402995,18094369.335567,2308815.452854,19.77394000000004,2e-05,47.865034,2.726789
7238,2020-06-26,DE-BW,70.24924399999999,15437655.135429,2300537.8702330003,19.80508900000001,0.003356,44.347815999999995,2.581756
7292,2020-06-27,DE-BW,70.211395,14943193.811185999,2300817.1262419997,20.946301000000005,0.003006,44.742315999999995,2.8493060000000003
7346,2020-06-28,DE-BW,75.559377,11646956.715738,2304970.771089,18.828844000000004,0.011701000000000001,36.044373,3.192075
7400,2020-06-29,DE-BW,76.462742,11098406.30587,2301576.3078349996,16.847094000000027,0.00403,40.431246,3.0136279999999998
7454,2020-06-30,DE-BW,65.128739,11776860.546567999,2299047.217414,17.639125999999976,5.4000000000000005e-05,38.914259,3.149652
7508,2020-07-01,DE-BW,65.005388,18026445.195748,2293363.625029,21.310320000000047,0.000865,52.792235,3.031168
7562,2020-07-02,DE-BW,74.604659,8303747.23388,2299732.919575,18.60443700000002,0.007087,33.045066,3.203013
7616,2020-07-03,DE-BW,62.576101,10091912.400046,2311184.38826,17.394980000000032,0.00042699999999999997,45.886758,2.2829759999999997
7670,2020-07-04,DE-BW,58.841421,14872770.556968,2312753.626473,18.692120000000045,3.4e-05,47.293275,2.901471
7724,2020-07-05,DE-BW,60.818735,7133808.829039,2307141.937428,21.539162000000033,9.6e-05,39.788537,4.469476
7778,2020-07-06,DE-BW,60.997305000000004,14207868.663855,2308275.709036,16.83096800000004,0.002073,47.105154,4.443402
7832,2020-07-07,DE-BW,56.730022,15484239.848047,2313276.928126,15.404781000000014,3.3e-05,51.547955,1.703171
7886,2020-07-08,DE-BW,58.873764,13700494.513953,2308177.509013,17.795710999999983,0.000352,41.909175,2.843783
7940,2020-07-09,DE-BW,55.85110400000001,16752683.544257,2304347.169748,21.596899000000064,6.4e-05,48.128264,2.896229
7994,2020-07-10,DE-BW,57.819008,16750968.922117,2300956.9302060003,20.953939000000048,0.004425,45.451121,4.1628680000000005
8048,2020-07-11,DE-BW,64.426633,11787439.66657,2318261.0658650002,16.519168000000036,0.008357999999999999,45.905015,2.525137
8102,2020-07-12,DE-BW,53.18234399999999,16031615.957707,2323295.130691,16.802620000000047,3.9e-05,50.678761,2.8189509999999998
