index,date,iso3166-2,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
1620,2020-03-14,DE-BB,63.282802000000004,10367680.506402,2439074.106264,2.8190080000000535,1e-06,10.826513,2.2511080000000003
1674,2020-03-15,DE-BB,49.420491,8636587.822747,2429122.170977,5.441363000000024,0.0,9.281948,4.738157
1728,2020-03-16,DE-BB,56.853469999999994,8375225.327517,2428544.5441880003,8.465795000000014,0.0,8.175496,2.846367
1782,2020-03-17,DE-BB,73.225449,6769311.626914,2446141.718428,8.283040000000028,0.00023999999999999998,10.141351,2.338849
1836,2020-03-18,DE-BB,64.18024,6683524.7593519995,2441728.700477,10.791896000000008,2e-06,8.036154,3.5535419999999998
1890,2020-03-19,DE-BB,77.158215,2759323.829156,2441002.2361290003,9.389402000000018,0.00025699999999999996,6.530003,2.319188
1944,2020-03-20,DE-BB,75.93506500000001,1794996.290798,2443348.30128,6.651678000000004,0.000566,6.7584740000000005,2.507012
1998,2020-03-21,DE-BB,63.83955,7832644.5062770005,2455465.254331,3.3177120000000286,6.4e-05,10.859905,4.389653
2052,2020-03-22,DE-BB,54.037344,10289262.538914999,2469372.1011799998,1.0797939999999926,2e-06,13.684910999999998,3.4546550000000003
2106,2020-03-23,DE-BB,49.005527,13135393.286216,2474949.5719310003,0.37986499999999523,0.0,14.499623000000001,2.4895110000000003
2160,2020-03-24,DE-BB,45.517466,13397984.691438999,2469422.957821,1.5042420000000334,0.0,15.13884,2.858788
2214,2020-03-25,DE-BB,40.944275,13122462.715289999,2458349.9672990004,3.145785999999987,0.0,15.254582000000001,3.744362
2268,2020-03-26,DE-BB,44.021993,13219557.068541,2447513.708072,4.97532799999999,0.0,16.012804,3.5960769999999997
2322,2020-03-27,DE-BB,50.757089,13007418.913131,2436225.023726,8.374581000000035,0.0,16.270901000000002,3.010412
2376,2020-03-28,DE-BB,60.663881999999994,13612011.912378,2426746.2658169996,7.101414000000034,0.0,17.132814,3.203794
2430,2020-03-29,DE-BB,72.695766,1885416.6429830003,2437323.033329,2.3666810000000282,0.002169,7.232739,4.653279
2484,2020-03-30,DE-BB,72.60640699999999,5552173.636392,2444523.597791,0.14566899999999805,0.001952,9.547827999999999,3.2509799999999998
2538,2020-03-31,DE-BB,64.573349,7049276.28471,2450460.529061,1.0441509999999994,0.00022999999999999998,12.916646,2.388109
2592,2020-04-01,DE-BB,58.396156999999995,10719673.242531,2427322.487823,3.4876859999999965,8e-06,14.742907,3.80304
2646,2020-04-02,DE-BB,60.841556000000004,6555323.3916650005,2405132.652774,6.200851,7.900000000000001e-05,11.154406,4.505145
2700,2020-04-03,DE-BB,56.041684,8828798.726588,2412467.724579,6.634212000000048,0.000462,16.133568,4.8368970000000004
2754,2020-04-04,DE-BB,56.723870999999995,7216049.4265,2443135.936166,6.5467290000000276,4.6e-05,17.848858,1.822134
2808,2020-04-05,DE-BB,49.686954,15197052.567663,2450252.6088380003,9.040550999999994,0.0,19.596535,3.7728080000000004
2862,2020-04-06,DE-BB,42.151436,15905400.440623,2438801.316344,12.827596000000028,0.0,20.091388000000002,3.839744
2916,2020-04-07,DE-BB,53.357362,15360172.142606,2453594.233555,12.882626000000016,0.0,20.650515,3.009309
2970,2020-04-08,DE-BB,50.750069,15708783.983179001,2444759.10005,13.086130000000026,0.0,20.796134,2.2237669999999996
3024,2020-04-09,DE-BB,58.340382,11197371.038161999,2437474.4492220003,11.402258000000018,3.6e-05,20.910871,3.174825
3078,2020-04-10,DE-BB,57.86793,12859193.997991001,2443586.404218,8.770968000000039,0.0,19.662817,2.093855
3132,2020-04-11,DE-BB,56.22054,15216301.315591,2443027.307369,8.464571000000035,0.0,22.312578,1.515863
3186,2020-04-12,DE-BB,48.301226,16506126.323876001,2416708.210143,13.574704999999994,9e-06,23.373588,2.598088
3240,2020-04-13,DE-BB,54.694862,9963508.754456,2415741.894991,7.527578000000005,0.001097,17.530756,4.8346599999999995
3294,2020-04-14,DE-BB,52.672056999999995,9462517.020587,2432426.051845,5.597485000000006,0.000154,22.283455,4.312506
3348,2020-04-15,DE-BB,55.80853199999999,12737144.077705,2431418.585363,8.83462000000003,1e-06,18.131057000000002,4.755085
3402,2020-04-16,DE-BB,55.169516,14801058.479538001,2420772.566658,11.19588600000003,0.0,19.929199,3.180584
3456,2020-04-17,DE-BB,55.911012,16355164.057996,2424099.2260229997,10.24803300000002,0.0,22.707256,2.066632
3510,2020-04-18,DE-BB,41.914188,18079969.194326002,2425129.043246,10.161996000000045,0.0,25.067035,2.808733
3564,2020-04-19,DE-BB,41.782821999999996,18227129.175747,2435680.616432,8.632844000000034,1e-06,25.197088,4.167463
3618,2020-04-20,DE-BB,47.547833000000004,18466506.418278,2443798.527241,9.206649000000027,0.0,25.859904999999998,4.027269
3672,2020-04-21,DE-BB,47.516574,18553746.389154002,2443699.814964,10.794750000000022,0.0,26.280191,4.644680999999999
