index,date,iso3166-2,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
2488,2020-03-30,DE-HB,76.460629,5234567.6089739995,2463942.2147439998,2.817469000000017,0.003821,11.230769,4.026816
2542,2020-03-31,DE-HB,60.913837,7642888.403846,2468689.9903849997,3.174412000000018,2.7000000000000002e-05,17.576923,2.675427
2596,2020-04-01,DE-HB,73.846848,5147550.878205,2444031.0352560002,4.692313000000013,0.000924,9.730769,4.419231
2650,2020-04-02,DE-HB,69.40502099999999,9264513.871795,2420685.8653849997,7.634460000000047,0.00108,12.730769,6.614636999999999
2704,2020-04-03,DE-HB,61.814637,9574264.884614998,2431249.474359,6.396208000000058,0.000625,16.923077,5.275641
2758,2020-04-04,DE-HB,62.50844,9323842.820513,2455659.2948720003,7.437715000000026,2.4e-05,17.512821,3.04391
2812,2020-04-05,DE-HB,47.749306,15609719.076923002,2454641.801282,11.622431000000006,0.0,18.820513000000002,5.221154
2866,2020-04-06,DE-HB,48.17548,15693267.346154,2445527.416667,14.569660000000056,1e-06,19.769231,4.220673000000001
2920,2020-04-07,DE-HB,66.20074699999999,15735495.538462,2471213.480769,12.277459000000022,2e-06,17.692307999999997,2.882853
2974,2020-04-08,DE-HB,56.469979,14089161.75641,2457571.310897,14.26591400000001,3e-06,17.75641,3.2862709999999997
3028,2020-04-09,DE-HB,68.41164599999999,12089564.294872,2458822.9903849997,10.753047000000038,0.0,20.871795000000002,3.4781519999999997
3082,2020-04-10,DE-HB,69.517094,11492361.641026,2463975.3173080003,7.480458000000056,0.0,19.358974,3.046902
3136,2020-04-11,DE-HB,59.8953,15924816.871795,2455695.897436,10.39909700000004,0.0,22.0,2.104167
3190,2020-04-12,DE-HB,57.043216,15813320.653846,2431488.0705130002,13.43568399999998,0.000459,21.987179,3.1114319999999998
3244,2020-04-13,DE-HB,55.491879000000004,9387692.923077,2444305.5576919997,7.218807000000027,0.000592,20.294872,8.309508000000001
3298,2020-04-14,DE-HB,65.081517,5246535.762821,2455344.519231,6.283019000000024,0.000319,17.807692000000003,4.999306
3352,2020-04-15,DE-HB,64.39188100000001,16823117.730769,2450546.5673080003,9.324145000000044,0.0,23.75641,4.090705000000001
3406,2020-04-16,DE-HB,69.65657,15852767.487179,2440539.775641,9.556145000000015,0.0,21.205128,3.140812
3460,2020-04-17,DE-HB,66.690972,17721662.487179,2442016.016026,9.06046600000002,0.0,22.717949,3.121581
3514,2020-04-18,DE-HB,49.154007,18214871.358974,2440019.708333,11.582311000000004,0.0,24.935897,4.844498000000001
3568,2020-04-19,DE-HB,42.53937,18722296.205128,2451585.846154,10.150748000000021,0.0,25.0,5.828686
3622,2020-04-20,DE-HB,44.91015,18842577.435897,2456747.0801279997,10.923983000000021,0.0,25.0,6.184829
3676,2020-04-21,DE-HB,45.227458,18768306.666667003,2455571.362179,12.458230000000015,0.0,25.0,7.194551
3730,2020-04-22,DE-HB,49.153417,18947179.307692003,2456703.237179,13.45507600000002,0.0,25.371795000000002,5.696635
3784,2020-04-23,DE-HB,51.472865000000006,18836109.487179,2446278.586538,14.404324000000031,0.0,25.782051,3.134241
3838,2020-04-24,DE-HB,62.996262,18028885.987179,2425349.666667,11.73936900000001,3.1e-05,25.025641,5.683066
3892,2020-04-25,DE-HB,65.620405,11959608.25641,2427528.230769,10.964686000000029,1e-06,23.846154000000002,4.708868
3946,2020-04-26,DE-HB,67.78173000000001,7213761.608974,2425146.125,9.22986400000002,7.000000000000001e-06,20.384615,2.467521
4000,2020-04-27,DE-HB,57.360524,17975722.461538002,2414215.8846150003,12.952724000000046,0.0,25.692307999999997,2.6547009999999998
4054,2020-04-28,DE-HB,67.931997,7214355.532051,2408696.323718,11.826437999999996,0.0029850000000000002,22.358974,3.7845089999999995
4108,2020-04-29,DE-HB,84.77371600000001,2685678.5721150003,2405422.894231,10.827557000000013,0.003803,17.410256,3.180929
4162,2020-04-30,DE-HB,71.99359,8752235.955128,2396261.5,12.570247000000052,0.009831,25.448718,4.617575
4216,2020-05-01,DE-HB,77.271422,9593487.961538,2394513.50641,10.335627999999986,0.0065829999999999994,20.410256,4.96234
4270,2020-05-02,DE-HB,79.967146,9735745.653846001,2411560.076923,10.224838000000034,0.0054789999999999995,20.974359,4.970459
4324,2020-05-03,DE-HB,77.104702,8331550.929486999,2435895.291667,10.50645800000001,0.000907,22.410256,3.202404
4378,2020-05-04,DE-HB,66.49813,13769058.551282002,2443522.4326919997,9.832740000000001,3.2e-05,30.910256,4.121474
4432,2020-05-05,DE-HB,62.22686899999999,12664057.653846001,2449817.227564,9.246952000000022,0.00042699999999999997,32.230769,4.384455
4486,2020-05-06,DE-HB,66.664048,20811761.25641,2457132.3076919997,9.723349000000042,0.0,34.794872,4.141506
4540,2020-05-07,DE-HB,68.074625,17254555.410256,2452258.032051,10.796958000000018,1e-06,29.846154,3.367308
4594,2020-05-08,DE-HB,59.911377,16673970.269230999,2441201.3173080003,13.109827999999993,0.0,32.525641,1.9461
4648,2020-05-09,DE-HB,57.23969,19040547.551282,2429820.0897439998,16.563887000000022,6e-06,35.0,2.405075
4702,2020-05-10,DE-HB,62.821528,10431474.75641,2414730.8846150003,14.153575000000046,0.000344,29.102564,4.53328
4756,2020-05-11,DE-HB,54.980821999999996,12944027.833333,2427810.461538,8.63797500000004,0.00045599999999999997,31.076922999999997,6.3586
4810,2020-05-12,DE-HB,72.179273,10747004.769230999,2434496.6826919997,7.2845609999999965,0.0031420000000000003,24.217949,4.806036
