date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
2020-04-30,DE-MV,85.366842,3332568.96975,2395664.798232,11.428720999999996,0.007475,14.528801999999999,3.242587,Baden-Württemberg
2020-04-30,DE-NI,74.08219,8741794.578947,2381489.491776,11.86818500000004,0.008293,21.813319,4.339841000000001,Bayern
2020-04-30,DE-NW,75.200328,10890104.431147,2353336.769439,10.98072000000002,0.007139,25.478702,4.688019000000001,Berlin
2020-04-30,DE-RP,82.71406800000001,4981159.321053,2319031.76309,10.21874200000002,0.008844,19.665212,5.252205,Brandenburg
2020-04-30,DE-SH,84.07205,5373889.953083,2395438.133266,10.403470000000027,0.011179999999999999,18.41555,3.7138760000000004,Bremen
2020-04-30,DE-SL,87.710833,3417573.478261,2322507.945652,9.965094000000022,0.013647,18.722826,5.778193,Hamburg
2020-04-30,DE-SN,70.430099,4918952.696838,2329859.152589,12.815993000000049,0.000863,18.477504,4.074943,Hessen
2020-04-30,DE-ST,74.440823,4867932.75046,2373387.819879,12.575891000000013,0.0036829999999999996,16.511217000000002,4.0373220000000005,Mecklenburg-Vorpommern
2020-04-30,DE-TH,76.052715,5281069.222645,2308887.071598,11.25028100000003,0.00265,16.972407,5.129847,Niedersachsen
2020-05-01,DE-BB,65.556084,12966314.066784,2385546.703992,12.592719000000045,0.001218,24.960582000000002,3.843817,Thüringen
2020-05-01,DE-BE,64.33566400000001,12981890.104895,2390015.29021,13.20200699999998,0.00085,26.062936999999998,4.205595,Baden-Württemberg
2020-05-01,DE-BW,79.067673,7283014.852669001,2280297.652646,9.31109900000007,0.005672,19.385254999999997,4.353624,Bayern
2020-05-01,DE-BY,79.05925400000001,10065331.603535,2263725.494318,9.393122000000062,0.005273,22.880917999999998,3.653602,Berlin
2020-05-01,DE-HB,77.271422,9593487.961538,2394513.50641,10.335627999999986,0.0065829999999999994,20.410256,4.96234,Brandenburg
2020-05-01,DE-HE,82.395038,7731690.8797699995,2321276.610967,8.941423000000043,0.005382,19.251945000000003,4.3917779999999995,Bremen
2020-05-01,DE-HH,78.924181,10685644.833333,2390647.613636,10.256411000000014,0.005841,22.878788,3.8421089999999998,Hamburg
2020-05-01,DE-MV,75.386149,12407248.459921,2390296.6163520003,10.908585000000016,0.0022329999999999997,21.527888,3.4849040000000002,Hessen
2020-05-01,DE-NI,77.43225600000001,10498655.571272,2379604.701754,9.963390000000004,0.004286,20.691021,4.304998,Mecklenburg-Vorpommern
2020-05-01,DE-NW,76.75756899999999,11209058.682667999,2353268.744478,9.623675000000048,0.0038009999999999997,23.749606,4.423808999999999,Niedersachsen
2020-05-01,DE-RP,83.57673100000001,6956782.601349001,2318956.027469,8.849833000000046,0.008159999999999999,20.980167,4.699706,Nordrhein-Westfalen
2020-05-01,DE-SH,83.216185,9596129.071939,2392013.172252,9.595973000000015,0.007923999999999999,20.115728,3.7926029999999997,Rheinland-Pfalz
2020-05-01,DE-SL,87.594858,4577151.933424,2322783.7805709997,8.93370600000003,0.014313,20.638587,5.274853,Saarland
2020-05-01,DE-SN,66.220057,12862153.755092999,2325129.7060700003,11.330276000000026,0.001905,26.290322999999997,4.817035,Sachsen
2020-05-01,DE-ST,70.011627,12424050.535859,2369712.474991,11.18772400000006,0.001306,24.710923,4.077038,Sachsen-Anhalt
2020-05-01,DE-TH,76.94946999999999,8525547.690295,2305560.959919,9.348648000000026,0.004018,20.831589,4.925009999999999,Schleswig-Holstein
2020-05-02,DE-BB,79.846343,10185999.102561,2395435.309628,9.84633500000001,0.00411,21.521214999999998,3.366014,Hamburg
2020-05-02,DE-BE,79.97089100000001,9975809.461538,2400085.0646849996,10.256466000000046,0.004353,26.06993,3.52264,Hessen
2020-05-02,DE-BW,78.218563,11082229.695748,2293295.849434,8.17172800000003,0.006178,23.598336,4.241709999999999,Mecklenburg-Vorpommern
2020-05-02,DE-BY,77.83783299999999,10737968.716330001,2274191.897938,8.013351,0.005422,25.482394,4.286766,Niedersachsen
2020-05-02,DE-HB,79.967146,9735745.653846001,2411560.076923,10.224838000000034,0.0054789999999999995,20.974359,4.970459,Nordrhein-Westfalen
2020-05-02,DE-HE,82.287635,7907847.74435,2336416.533068,7.876724000000024,0.004852,20.118562,3.928663,Rheinland-Pfalz
2020-05-02,DE-HH,77.652023,9851795.992424,2404822.914773,9.852113000000031,0.0036119999999999998,18.113636,4.179451,Saarland
2020-05-02,DE-MV,77.008275,10875949.570101,2400981.092883,9.962725000000034,0.00386,21.387991,3.8429059999999997,Sachsen
2020-05-02,DE-NI,81.91778000000001,8596729.714912,2396036.685855,9.163116000000059,0.006052,18.052391,4.111117,Sachsen-Anhalt
2020-05-02,DE-NW,82.007873,7477892.736533999,2371661.2889900003,8.611715000000004,0.006032,21.924723999999998,3.902745,Schleswig-Holstein
2020-05-02,DE-RP,77.594041,10623164.752875999,2335986.367711,8.202642000000026,0.00324,27.737009000000004,4.38098,Thüringen
2020-05-02,DE-SH,81.060464,11359265.336014,2406139.4174490003,9.541096000000039,0.002248,18.600089,4.34895,Baden-Württemberg
2020-05-02,DE-SL,79.192945,12162135.233696,2339747.221467,8.06773400000003,0.001399,28.070652000000003,4.471433,Bayern
2020-05-02,DE-SN,79.86008000000001,9283567.429117,2334327.776104,8.260931000000028,0.005325,19.660866,4.382322,Berlin
2020-05-02,DE-ST,80.474239,8080575.495587,2381989.025653,9.020167000000015,0.005850999999999999,16.755425,3.780937,Brandenburg
2020-05-02,DE-TH,81.754747,7524832.700761,2317600.183516,7.553750000000036,0.00586,19.028544,4.336743,Bremen
2020-05-03,DE-BB,74.73584,7755546.729286999,2419416.967926,10.145975000000021,0.000575,18.794125,3.116104,Saarland
2020-05-03,DE-BE,72.55771899999999,6516338.437063,2424115.536713,10.67150300000003,0.000239,24.034965,3.4985720000000002,Sachsen
2020-05-03,DE-BW,64.359475,11207981.718974,2307953.1941299997,10.201319000000012,0.00013700000000000002,28.851166999999997,1.9203009999999998,Sachsen-Anhalt
2020-05-03,DE-BY,67.566579,11578144.500842,2291629.514731,9.24697100000003,0.0007650000000000001,26.962646000000003,2.136154,Schleswig-Holstein
2020-05-03,DE-HB,77.104702,8331550.929486999,2435895.291667,10.50645800000001,0.000907,22.410256,3.202404,Thüringen
2020-05-03,DE-HE,70.236334,8544061.260837,2355501.771489,10.29847200000006,0.000363,21.54761,2.147539,Baden-Württemberg
2020-05-03,DE-HH,75.936771,8294281.30303,2429985.251894,10.336772000000053,0.000491,18.992424,2.947727,Bayern
2020-05-03,DE-MV,75.27901800000001,7934824.122828,2425781.654602,10.415812000000017,0.000512,20.803109,3.891486,Berlin
2020-05-03,DE-NI,77.067408,7490108.418860001,2419478.995066,10.206581000000028,0.001131,19.016412,2.873271,Brandenburg
2020-05-03,DE-NW,73.204841,7185462.451544,2391390.3014419996,10.482222000000036,0.0010960000000000002,25.368492,2.327394,Bremen
2020-05-03,DE-RP,67.135471,6310698.880206,2352090.654502,10.253688000000011,0.000218,25.458152,1.7039900000000001,Hamburg
2020-05-03,DE-SH,77.235843,10742078.129357,2432159.477659,9.93521800000002,0.000293,23.804736,3.734573,Hessen
2020-05-03,DE-SL,68.593704,6378981.433424,2353963.9273099997,10.540602999999976,0.000405,27.605978000000004,1.6727130000000001,Mecklenburg-Vorpommern
2020-05-03,DE-SN,73.875344,12755465.439304,2356443.182831,9.460443999999995,0.001686,20.755518,3.3012040000000002,Niedersachsen
2020-05-03,DE-ST,74.51661700000001,9754235.46929,2405245.9260759996,10.24235299999998,0.000941,17.458257,2.881176,Nordrhein-Westfalen
2020-05-03,DE-TH,72.018163,11514970.270932,2338708.415794,9.626862000000017,0.0007030000000000001,21.544719,2.7813060000000003,Rheinland-Pfalz
2020-05-04,DE-BB,80.962769,3649105.019332,2421994.96642,8.762120000000039,0.004713,15.889279,1.978273,Bayern
2020-05-04,DE-BE,81.426339,1889649.395979,2426719.980769,8.965382000000034,0.005018,18.867133,2.122057,Berlin
2020-05-04,DE-BW,75.933722,9891229.384446,2304798.9896580004,12.526341000000059,0.0035240000000000002,26.047839,2.889514,Brandenburg
2020-05-04,DE-BY,76.87945500000001,8959163.914983,2288568.576599,10.949662000000046,0.004531,23.82917,2.537313,Bremen
2020-05-04,DE-HB,66.49813,13769058.551282002,2443522.4326919997,9.832740000000001,3.2e-05,30.910256,4.121474,Hamburg
2020-05-04,DE-HE,78.333415,6478475.457762,2354563.214709,9.67285400000003,0.0028870000000000002,16.542794,2.699021,Hessen
2020-05-04,DE-HH,65.782544,13460246.257576,2436739.973485,9.5154,6e-06,31.227272999999997,3.521181,Mecklenburg-Vorpommern
2020-05-04,DE-MV,69.897675,10658737.170146002,2431290.204587,9.22810400000003,0.000681,20.192319,3.261788,Niedersachsen
2020-05-04,DE-NI,70.614655,10885237.813048,2425343.117325,9.335793000000024,0.001565,26.898532,3.304432,Nordrhein-Westfalen
2020-05-04,DE-NW,73.090733,8530565.310232,2394010.673203,10.260879000000045,0.003112,22.144692000000003,2.838016,Rheinland-Pfalz
2020-05-04,DE-RP,76.28011500000001,9594646.04284,2350436.231753,11.144220000000018,0.002699,21.898056,2.9954810000000003,Saarland
2020-05-04,DE-SH,68.02462299999999,15736294.528597001,2439906.297587,8.824994000000004,0.000226,29.47185,4.352863,Sachsen
2020-05-04,DE-SL,75.553689,10381925.418477999,2351774.0523099997,12.504777000000047,0.003018,24.888587,3.556692,Sachsen-Anhalt
2020-05-04,DE-SN,78.91435899999999,6818205.2632639995,2355940.5041380003,9.246530000000007,0.005261,19.022071,2.645045,Schleswig-Holstein
2020-05-04,DE-ST,81.51182299999999,3699180.203843,2407145.5367779997,8.788325000000043,0.004443,16.070246,2.311815,Thüringen
