date	iso3166-2	RelativeHumiditySurface	SolarRadiation	Surfacepressure	TemperatureAboveGround	Totalprecipitation	UVIndex	WindSpeed
2020-11-17	DE-SH	92.431581	1719.681148	2438600.607239	283.774981	0.001601	0.0	6.041266
2020-11-17	DE-SL	88.548014	323217.811428	2375943.347147	282.02653	6e-05	2.138587	3.482926
2020-11-17	DE-SN	82.964758	406223.473499	2376283.793506	282.379418	0.001396	1.081919	4.385663
2020-11-17	DE-ST	84.34302	3052.293587	2421709.879643	283.117449	0.002356	0.013608	4.265173
2020-11-17	DE-TH	84.161118	21769.381785	2357543.163178	281.916636	0.000833	0.35823	4.909812
2020-11-17	DK-81	93.326007	4686.455961	2420023.856217	283.760139	0.002353	0.0	6.883311
2020-11-17	DK-82	93.50338	24040.849437	2420235.820324	283.909758	0.001146	0.0	5.836278
2020-11-17	DK-83	93.22372	15284.996152	2428661.560225	283.969943	0.002066	0.0	6.490556
2020-11-17	DK-84	92.758583	289471.893638	2433521.076212	283.555765	0.002392	0.0	6.077155
2020-11-17	DK-85	93.263695	79261.216218	2434866.071611	283.558292	0.00202	0.0	6.052028
2020-11-18	DE-BB	81.973066	1355422.654697	2435878.863859	283.557511	0.000147	0.0	3.651549
2020-11-18	DE-BE	78.844085	1304437.699301	2440726.625874	283.971039	0.000173	0.0	3.886101
2020-11-18	DE-BW	80.501019	4850934.021724	2325611.113762	279.266741	1e-06	4.374856	1.849485
2020-11-18	DE-BY	83.795027	4465202.305496	2313823.370152	278.61513	1.7e-05	3.93005	1.78966
2020-11-18	DE-HB	82.664103	1317080.676282	2441708.397436	284.961812	0.000338	0.0	5.528205
2020-11-18	DE-HE	81.425672	2414403.74648	2370278.232308	282.312263	4.3e-05	2.594294	3.353863
2020-11-18	DE-HH	84.650914	986180.765152	2437394.219697	284.391282	0.000289	0.0	4.911048
2020-11-18	DE-MV	87.10869	484423.41324	2437530.496266	283.804062	0.000244	0.0	4.877804
2020-11-18	DE-NI	81.245449	1818301.73279	2428111.377466	284.351028	0.000267	0.521225	4.6631
2020-11-18	DE-NW	75.666354	2923269.775862	2401358.543272	284.555273	5.4e-05	2.700248	4.07866
2020-11-18	DE-RP	82.409051	3727545.90837	2366547.765768	281.929314	3.8e-05	4.02261	2.630406
2020-11-18	DE-SH	88.340117	997765.800296	2436145.762623	284.254245	0.000749	0.0	6.282782
