date,region_code,confirmed_addition,deceased_addition
2020-09-18,Berlin,192,0
2020-09-19,Berlin,58,0
2020-09-20,Berlin,28,0
2020-09-21,Berlin,194,1
2020-09-22,Berlin,169,1
2020-09-23,Berlin,185,0
2020-09-24,Berlin,227,0
2020-09-25,Berlin,206,1
2020-09-26,Berlin,83,0
2020-09-27,Berlin,28,0
2020-09-28,Berlin,203,3
2020-09-29,Berlin,216,2
2020-09-30,Berlin,275,1
2020-10-01,Berlin,315,0
2020-10-02,Berlin,341,1
2020-10-03,Berlin,98,0
2020-10-04,Berlin,111,0
2020-10-05,Berlin,315,1
2020-10-06,Berlin,326,1
2020-10-07,Berlin,496,0
2020-10-08,Berlin,459,1
2020-10-09,Berlin,507,1
2020-10-10,Berlin,171,1
2020-10-11,Berlin,149,2
2020-10-12,Berlin,597,1
2020-10-13,Berlin,508,1
2020-10-14,Berlin,586,1
2020-10-15,Berlin,688,1
2020-10-16,Berlin,629,4
2020-10-17,Berlin,167,0
2020-10-18,Berlin,195,0
2020-10-19,Berlin,778,7
2020-10-20,Berlin,897,8
2020-10-21,Berlin,817,5
2020-10-22,Berlin,901,7
2020-10-23,Berlin,924,8
2020-10-24,Berlin,281,1
2020-10-25,Berlin,330,3
2020-10-26,Berlin,1024,13
2020-10-27,Berlin,1131,11
2020-10-28,Berlin,1285,14
2020-10-29,Berlin,1048,13
2020-10-30,Berlin,1071,12
2020-10-31,Berlin,354,5
2020-11-01,Berlin,358,6
2020-11-02,Berlin,1415,20
2020-11-03,Berlin,1324,18
2020-11-04,Berlin,1234,14
2020-11-05,Berlin,1305,19
2020-11-06,Berlin,1164,7
2020-11-07,Berlin,409,6
2020-11-08,Berlin,292,3
2020-11-09,Berlin,1473,24
2020-11-10,Berlin,1296,15
2020-11-11,Berlin,1675,21
2020-11-12,Berlin,1562,15
2020-11-13,Berlin,1394,18
2020-11-14,Berlin,462,10
2020-11-15,Berlin,591,8
2020-11-16,Berlin,1618,30
2020-11-17,Berlin,1683,17
2020-11-18,Berlin,1354,11
2020-11-19,Berlin,1434,21
2020-11-20,Berlin,1480,24
2020-11-21,Berlin,456,4
2020-11-22,Berlin,389,11
2020-11-23,Berlin,1609,37
2020-11-24,Berlin,1500,34
2020-11-25,Berlin,1260,34
2020-11-26,Berlin,1328,33
2020-11-27,Berlin,1302,33
2020-11-28,Berlin,487,11
2020-11-29,Berlin,269,9
2020-11-30,Berlin,1198,29
2020-12-01,Berlin,1101,36
2020-12-02,Berlin,1169,34
2020-12-03,Berlin,1413,40
2020-12-04,Berlin,1464,39
2020-12-05,Berlin,434,11
2020-12-06,Berlin,329,8
2020-12-07,Berlin,1352,30
2020-12-08,Berlin,1220,27
2020-12-09,Berlin,1437,30
2020-12-10,Berlin,1431,31
2020-12-11,Berlin,1335,36
2020-12-12,Berlin,470,26
2020-12-13,Berlin,303,10
2020-12-14,Berlin,1543,40
2020-12-15,Berlin,1195,37
2020-12-16,Berlin,1574,39
2020-12-17,Berlin,1662,52
2020-12-18,Berlin,1527,65
2020-12-19,Berlin,501,15
2020-12-20,Berlin,348,14
2020-12-21,Berlin,1582,52
2020-12-22,Berlin,1443,42
2020-12-23,Berlin,1585,59
2020-12-24,Berlin,598,27
2020-12-25,Berlin,181,8
2020-12-26,Berlin,698,35
2020-12-27,Berlin,488,18
2020-12-28,Berlin,1141,67
2020-12-29,Berlin,1215,42
2020-12-30,Berlin,1062,28
2020-12-31,Berlin,486,15
2021-01-01,Berlin,273,4
2021-01-02,Berlin,483,19
2021-01-03,Berlin,459,32
2021-01-04,Berlin,1026,41
2021-01-05,Berlin,1180,52
2021-01-06,Berlin,1375,42
2021-01-07,Berlin,1661,51
