metric,absolute_infections,absolute_deaths,population,infections_(per_100.000),deaths_(per_100.000)
count,372.0,372.0,372.0,372.0,372.0
mean,1402.010752688172,33.956989247311824,17932651.0,7.8182012948792226,0.18935844592811082
std,1708.6709546167492,48.03164140809347,0.0,9.528267486032878,0.26784462268346976
min,1.0,0.0,17932651.0,0.005576420351904468,0.0
25%,193.5,1.0,17932651.0,1.0790373380935145,0.005576420351904468
50%,500.0,6.5,17932651.0,2.7882101759522335,0.03624673228737904
75%,2162.25,53.5,17932651.0,12.057614905905435,0.298338488826889
max,6809.0,213.0,17932651.0,37.96984617611752,1.1877775349556516
