metric,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
count,375.0,375.0,375.0,375.0,375.0,375.0,375.0
mean,73.22632198933339,7594819.753148191,2302638.654976779,9.996249568000026,0.002789109333333333,18.470957853333328,2.9882418453333317
std,13.754825976356775,6621276.409117718,19441.13782447265,7.3316649034413475,0.00410235523147783,15.718768827429708,1.283470874258369
min,37.747618,2439.200721,2222697.260111,-8.912150999999938,0.0,0.000231,1.2660799999999999
25%,61.507441,1846659.477309,2294194.7978680003,4.328131000000013,3.5e-05,4.096256,2.070141
50%,76.292674,5321530.669748001,2305777.143922,10.113383999999996,0.000831,15.915876999999998,2.581756
75%,85.040617,13414875.115842499,2315008.4071239997,15.99038900000005,0.004116,29.876588500000004,3.6051
max,95.49884499999999,23708225.690317,2347100.903975,25.382946000000004,0.026674,52.792235,8.17565
