metric,absolute_infections,absolute_deaths,population,infections_(per_100.000),deaths_(per_100.000)
count,364.0,364.0,364.0,364.0,364.0
mean,854.8131868131868,21.813186813186814,11069533.0,7.722215443173496,0.1970560710482258
std,1046.368811424824,29.997763768963836,0.0,9.452691558215,0.2709939413791334
min,1.0,0.0,11069533.0,0.009033804768457712,0.0
25%,79.5,0.75,11069533.0,0.7181874790923881,0.0067753535763432834
50%,321.5,6.0,11069533.0,2.9043682330591545,0.054202828610746275
75%,1259.0,34.25,11069533.0,11.373560203488259,0.30940781331967665
max,4524.0,124.0,11069533.0,40.86893277250269,1.1201917912887562
