,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
1199,2020-03-06,DE-SH,86.955167,64028.679976,2388220.2267650003,277.679379,0.005407,4.386953,6.1665470000000004
1253,2020-03-07,DE-SH,82.591238,4634473.700737,2425807.554513,277.26844,7.099999999999999e-05,6.126899,3.920143
1307,2020-03-08,DE-SH,80.494392,1091752.56657,2416695.415885,280.96691699999997,0.001393,4.112154,5.953094
1361,2020-03-09,DE-SH,88.505926,3641422.131144,2414985.914097,280.35427000000004,0.0034219999999999997,4.748436,3.956475
1415,2020-03-10,DE-SH,92.717842,286697.883249,2391074.8681860003,280.59199900000004,0.011639,4.187668,6.964529
1469,2020-03-11,DE-SH,76.12951600000001,7022231.570375,2405885.679848,281.629259,0.0005740000000000001,9.253351,6.818703
1523,2020-03-12,DE-SH,73.338552,6806460.3710900005,2396804.572386,280.30704,0.0039700000000000004,7.805630000000001,9.964917999999999
1577,2020-03-13,DE-SH,77.881865,5757845.601653,2416265.328195,278.11724100000004,0.0029059999999999997,6.253798000000001,7.528336
1631,2020-03-14,DE-SH,71.642247,8306178.246872,2447083.518097,276.54000099999996,1e-06,9.895442,3.652804
1685,2020-03-15,DE-SH,67.73258299999999,3103985.791499,2426219.393432,281.74469300000004,0.00035499999999999996,5.91555,6.106073
1739,2020-03-16,DE-SH,77.236856,7030592.081546001,2438634.00983,281.078906,1e-05,7.592492999999999,4.1972949999999996
1793,2020-03-17,DE-SH,79.821027,4019626.435322,2455392.954088,280.457907,3.5e-05,5.970509,4.716927
1847,2020-03-18,DE-SH,81.682924,257394.11714899997,2448422.398794,281.681266,0.001344,5.103664,5.363725
1901,2020-03-19,DE-SH,80.889611,3355784.031711,2457218.5149689997,280.118533,0.00018999999999999998,7.774799000000001,2.434339
1955,2020-03-20,DE-SH,73.222859,4610068.134718,2464279.63092,278.824252,5.9e-05,7.462913,3.828011
2009,2020-03-21,DE-SH,60.695446,9162073.060098,2477210.088248,276.27857400000005,4e-06,11.521001,5.372332
2063,2020-03-22,DE-SH,61.357147999999995,8711700.141867999,2485629.346626,275.40159,1e-06,12.163539,4.537038
2117,2020-03-23,DE-SH,50.964682,12741259.718052,2486233.318923,275.58932400000003,0.0,12.882038,3.857974
2171,2020-03-24,DE-SH,44.382846,12017647.313672999,2478360.807864,277.01588,0.0,12.345844999999999,4.128472
2225,2020-03-25,DE-SH,45.996701,12181146.500894,2470728.2265419997,277.773304,0.0,11.630027,3.665397
2279,2020-03-26,DE-SH,54.78145799999999,13361499.119303,2463802.946828,277.83817200000004,0.0,13.664432999999999,4.100858000000001
2333,2020-03-27,DE-SH,68.210142,13201031.550045,2457113.867627,279.34578700000003,0.0,14.180964999999999,4.159674
2387,2020-03-28,DE-SH,67.688459,12700829.605450999,2450024.8817020003,279.254022,1.7e-05,14.710903,4.20805
2441,2020-03-29,DE-SH,57.951004000000005,9726507.411081,2466523.960456,275.78796,0.001558,13.178284,7.608523
2495,2020-03-30,DE-SH,70.663739,7620863.118186,2460315.319929,276.541281,0.0027,12.510277,4.447444
2549,2020-03-31,DE-SH,63.371816,10157683.378686,2465976.300827,276.070173,4.6e-05,15.895889000000002,3.018402
2603,2020-04-01,DE-SH,80.351089,5409672.132038,2436638.057864,278.760541,0.000662,7.899911,5.840033999999999
2657,2020-04-02,DE-SH,74.877537,7586987.895442,2411878.898682,280.126784,0.0010890000000000001,9.661305,8.002203999999999
2711,2020-04-03,DE-SH,69.92505600000001,11291409.166667,2424662.141197,278.29668799999996,0.000953,16.128239,6.207952
2765,2020-04-04,DE-SH,73.61098299999999,9218973.543119,2453089.345063,279.447777,0.000699,12.083557,3.434815
2819,2020-04-05,DE-SH,55.571631999999994,15329776.617516,2457261.508937,283.128149,0.0,18.24084,4.466888
2873,2020-04-06,DE-SH,50.507783,15539835.579088,2444862.960567,286.358311,8e-06,18.497319,3.874676
2927,2020-04-07,DE-SH,65.950319,15621792.700626,2469556.1479,284.210064,9e-06,17.935657,3.0348319999999998
2981,2020-04-08,DE-SH,63.280166,12560121.338694999,2456770.066466,284.939702,0.0,14.269884,3.346224
3035,2020-04-09,DE-SH,69.703701,12331107.462913001,2455830.730451,282.29785,9e-06,17.675603,4.00913
3089,2020-04-10,DE-SH,71.590244,10865744.466488,2461283.2271,279.48399,0.0,16.363718,3.3157970000000003
3143,2020-04-11,DE-SH,66.9644,13003941.274575999,2454754.35143,281.788713,6.500000000000001e-05,18.997766,2.1316759999999997
3197,2020-04-12,DE-SH,58.520126,15851506.878910001,2428569.928954,285.37791400000003,8.3e-05,20.777479999999997,3.9351059999999998
3251,2020-04-13,DE-SH,53.803408999999995,14445988.788651,2437341.1602990003,279.207416,0.000103,21.199732,7.815028
3305,2020-04-14,DE-SH,66.765059,8385881.579088001,2449227.890416,278.506546,3.8e-05,16.079535,5.355951999999999
3359,2020-04-15,DE-SH,70.158695,13922325.816801,2444105.42538,281.983512,1e-06,21.227882,6.804214999999999
3413,2020-04-16,DE-SH,73.356285,10739965.60143,2437109.1957099997,281.920591,1e-06,14.5,4.4737
3467,2020-04-17,DE-SH,67.695757,17428580.937891,2441574.562444,280.75542,0.0,22.733691,2.627134
3521,2020-04-18,DE-SH,56.400959,18091131.374441,2443804.836796,281.862464,0.0,23.267203,4.262457
3575,2020-04-19,DE-SH,55.720397999999996,18225676.535299,2455358.098525,281.066116,0.0,23.999106,4.720193
3629,2020-04-20,DE-SH,54.733274,18548661.168901,2461441.760724,282.500703,0.0,24.625559,4.888982
3683,2020-04-21,DE-SH,57.054342000000005,18400632.161752,2461806.5779709998,283.69584199999997,0.0,25.127346,7.150946
3737,2020-04-22,DE-SH,62.174535999999996,18807754.237712,2461323.9508490004,283.66013599999997,0.0,25.549598,5.468908
3791,2020-04-23,DE-SH,60.843427,18185098.109026,2446951.889522,285.57083900000003,0.0,25.257373,2.36937
3845,2020-04-24,DE-SH,67.393896,17073134.624665,2419587.816912,283.602025,1.4999999999999999e-05,23.57328,5.766762
3899,2020-04-25,DE-SH,66.71643399999999,12842247.890527,2423568.7648569997,282.943823,5.6000000000000006e-05,22.302055,3.500547
3953,2020-04-26,DE-SH,72.589471,5848294.79971,2422873.036752,280.27007000000003,1.4999999999999999e-05,13.367739000000002,2.574693
4007,2020-04-27,DE-SH,66.014477,13664333.095621001,2412272.111707,284.136127,0.0002,24.95487,2.751488
4061,2020-04-28,DE-SH,71.23696600000001,10381260.39924,2408707.460344,283.106424,0.003314,18.836461,2.94124
4115,2020-04-29,DE-SH,89.980599,554896.375091,2405437.58445,282.01904,0.00409,12.984361,2.931665
4169,2020-04-30,DE-SH,84.07205,5373889.953083,2395438.133266,283.55347,0.011179999999999999,18.41555,3.7138760000000004
4223,2020-05-01,DE-SH,83.216185,9596129.071939,2392013.172252,282.745973,0.007923999999999999,20.115728,3.7926029999999997
4277,2020-05-02,DE-SH,81.060464,11359265.336014,2406139.4174490003,282.691096,0.002248,18.600089,4.34895
4331,2020-05-03,DE-SH,77.235843,10742078.129357,2432159.477659,283.085218,0.000293,23.804736,3.734573
4385,2020-05-04,DE-SH,68.02462299999999,15736294.528597001,2439906.297587,281.974994,0.000226,29.47185,4.352863
4439,2020-05-05,DE-SH,64.075816,16470148.568811,2446429.106122,281.73829,0.000417,32.71269,4.044193
4493,2020-05-06,DE-SH,68.718874,18731998.130473997,2452504.926832,281.938244,1e-06,32.169348,5.008771
4547,2020-05-07,DE-SH,71.78856800000001,14955271.283289002,2448116.033065,283.31735699999996,2e-06,26.686327000000002,4.492195
4601,2020-05-08,DE-SH,68.413048,19285940.614835,2438474.345733,284.398663,0.0,32.603664,2.9951220000000003
4655,2020-05-09,DE-SH,69.197598,15104869.413315,2429508.502793,287.182084,0.000317,31.237712,2.085413
4709,2020-05-10,DE-SH,63.733532,11434672.800045,2413550.3731009997,286.523777,0.000152,21.234583999999998,4.488551999999999
4763,2020-05-11,DE-SH,56.435227000000005,14496688.151920998,2424625.709227,280.655875,0.000286,30.208668,6.2260089999999995
4817,2020-05-12,DE-SH,75.091284,11243476.134048,2428098.824955,279.94914,0.002752,23.211349,4.972315
4871,2020-05-13,DE-SH,77.532454,8652259.342717,2426356.362377,279.92171,0.003796,20.13941,3.244361
4925,2020-05-14,DE-SH,64.517255,11974951.605004,2441366.207328,280.467112,2.9999999999999997e-05,33.565684000000005,3.955053
4979,2020-05-15,DE-SH,77.787998,9678412.948391,2440028.453195,281.203318,0.001021,18.917337,5.21581
5033,2020-05-16,DE-SH,70.52856700000001,10861335.345398,2440320.768097,283.711923,0.000566,21.395442000000003,5.795653
5087,2020-05-17,DE-SH,71.870435,13252408.891421001,2442578.970845,285.018406,0.000376,32.273905,6.3465370000000005
5141,2020-05-18,DE-SH,80.974209,690157.693742,2441153.6594060003,285.629625,0.0017649999999999999,15.455317,5.008104
5195,2020-05-19,DE-SH,74.825128,12589393.10143,2443125.095509,286.45774500000005,0.00032900000000000003,25.981233,4.634857
5249,2020-05-20,DE-SH,70.852855,15316776.953083,2451257.624777,285.864786,1e-06,33.809205,2.016669
5303,2020-05-21,DE-SH,65.7202,10719434.783959,2450767.438114,288.250083,9e-06,32.628239,2.33942
5357,2020-05-22,DE-SH,73.90632099999999,2865674.041834,2437952.075737,288.460788,0.0118,20.150581,3.4068699999999996
5411,2020-05-23,DE-SH,76.024637,10304360.835567,2438659.308311,286.577221,0.000785,23.627793,5.059689
5465,2020-05-24,DE-SH,74.500609,9138652.180518,2447526.420353,285.623858,0.002358,20.557194,6.771677
5519,2020-05-25,DE-SH,75.943915,4439825.0687,2466813.483021,285.365821,0.00032599999999999996,21.988829,5.523265
5573,2020-05-26,DE-SH,79.451623,9212683.7605,2479513.7641869998,286.0341,2.6000000000000002e-05,25.025022,2.1063709999999998
5627,2020-05-27,DE-SH,71.95593000000001,8702457.075514,2474637.0023459997,286.49463199999997,8.8e-05,26.729669,3.6230019999999996
5681,2020-05-28,DE-SH,65.722289,20796179.140304,2473189.7231900003,285.952743,0.0,35.335567,3.848931
5735,2020-05-29,DE-SH,64.626949,21399090.505808998,2466543.4355450002,286.62910800000003,0.0,35.933423,2.3051909999999998
5789,2020-05-30,DE-SH,61.409206000000005,17366372.029937,2459388.181971,287.977837,2.4e-05,35.915996,2.8687840000000002
5843,2020-05-31,DE-SH,59.403897,12348912.404378999,2458218.260054,288.233127,3e-06,26.728329,4.940821
5897,2020-06-01,DE-SH,56.40828199999999,22868179.772118,2456874.757373,289.29481,0.0,40.921358000000005,4.329923
5951,2020-06-02,DE-SH,56.337548,19978543.50849,2437235.447051,291.41161800000003,0.0,36.334227,1.880986
6005,2020-06-03,DE-SH,64.80638,12259785.491063,2407493.168789,291.025215,0.001459,30.688561,3.5366269999999997
6059,2020-06-04,DE-SH,83.075284,2831121.955038,2380610.918007,287.16778,0.017386000000000002,20.851653,3.6886019999999995
6113,2020-06-05,DE-SH,73.537468,14236385.886506,2374448.040885,285.14948599999997,0.0062640000000000005,35.210903,5.011941
6167,2020-06-06,DE-SH,72.512749,15658479.099196,2389778.245085,284.48661699999997,0.001991,35.960679,5.225503
6221,2020-06-07,DE-SH,72.248717,14000504.586238,2408059.145107,285.889411,0.002374,29.166220000000003,4.219197
6275,2020-06-08,DE-SH,73.205702,12647264.055853,2428524.555071,286.722466,0.000492,38.13807,2.720152
6329,2020-06-09,DE-SH,69.896691,9879272.497319,2439940.383713,286.569358,0.00015,37.025915999999995,2.610661
6383,2020-06-10,DE-SH,69.294457,12595892.027033,2435812.319929,288.837784,0.001049,29.653261999999998,3.70453
6437,2020-06-11,DE-SH,82.824315,2144951.331015,2428119.896113,288.87292599999995,0.008087,22.338248,5.688209
6491,2020-06-12,DE-SH,87.721366,5192319.697107,2425395.295018,289.610231,0.001907,25.49866,5.009506
6545,2020-06-13,DE-SH,92.666039,9837370.941466,2427491.179401,289.617059,0.008376999999999999,23.357015,5.516844
6599,2020-06-14,DE-SH,78.556731,4642698.917141001,2430539.504133,290.265194,0.005872,31.911081,5.493003
6653,2020-06-15,DE-SH,63.57653199999999,21658663.512511,2433932.0033509997,290.711161,0.0,44.127793,3.5209339999999996
6707,2020-06-16,DE-SH,60.756864,21983581.369973,2429839.078642,292.01869500000004,1e-06,43.273458000000005,1.871548
6761,2020-06-17,DE-SH,65.07686,19202136.487042002,2425231.816466,293.60357200000004,6.9e-05,40.865952,2.4646689999999998
6815,2020-06-18,DE-SH,71.208329,14757265.165326001,2422738.642985,292.16797599999995,0.001123,33.54647,3.719182
6869,2020-06-19,DE-SH,86.634155,2197961.453907,2427969.134495,289.946661,0.011205,21.880697,3.395528
6923,2020-06-20,DE-SH,75.99051,6657090.6205319995,2439420.201408,290.209047,0.003351,24.920465,4.66964
6977,2020-06-21,DE-SH,67.75463,21325958.488829,2441154.937779,291.161966,0.000837,43.157283,2.552445
7031,2020-06-22,DE-SH,67.989419,18652751.106792003,2449447.395666,291.36244300000004,0.000465,44.246202000000004,4.1498919999999995
7085,2020-06-23,DE-SH,65.610007,22650387.997319,2457046.845621,290.703717,0.0,44.238159,2.337558
7139,2020-06-24,DE-SH,65.601802,22042468.642538,2457437.5033509997,292.838385,0.0,44.270331,2.765935
7193,2020-06-25,DE-SH,68.362042,20040815.115281,2448382.217605,294.784969,0.00011100000000000001,43.052279,4.794884
7247,2020-06-26,DE-SH,67.129322,18745126.197051,2430832.657395,296.33275299999997,5.6000000000000006e-05,44.171135,3.697254
7301,2020-06-27,DE-SH,75.957166,16994997.818588,2416256.5068139997,295.351354,0.0019440000000000002,39.356122,2.626003
7355,2020-06-28,DE-SH,77.76643299999999,4773063.363047,2420553.716488,291.20682400000004,0.0032869999999999996,25.548257,3.5026269999999995
7409,2020-06-29,DE-SH,63.880233999999994,14230450.062556,2416192.612936,290.323079,0.001987,37.891421,5.1147160000000005
7463,2020-06-30,DE-SH,78.033208,6021241.684372,2405676.1482349997,288.358886,0.005787,23.165773,6.760813000000001
7517,2020-07-01,DE-SH,78.98048,7221008.1575070005,2404995.690795,290.172529,0.00315,33.453083,4.230701
7571,2020-07-02,DE-SH,77.593249,11914782.652815,2415930.5149689997,289.766551,0.002832,31.182752,3.285167
7625,2020-07-03,DE-SH,78.304071,6811285.3823730005,2426820.746984,289.15675600000003,0.002151,25.139857,3.546818
7679,2020-07-04,DE-SH,89.187747,395122.66407,2417730.799933,289.330601,0.007790999999999999,21.489723,6.213429
7733,2020-07-05,DE-SH,81.907015,5312607.146448,2407201.914768,290.431154,0.002779,27.611259999999998,7.030728999999999
