,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
9,2020-02-13,DE-NW,85.525648,441980.954719,2361307.6076740003,276.756529,0.007882,2.8972279999999997,4.687521
63,2020-02-14,DE-NW,84.727681,1116922.958805,2393145.45915,278.72728,0.000657,1.5050709999999998,3.934864
117,2020-02-15,DE-NW,73.927677,3313151.859294,2390280.1119,281.214789,0.00021600000000000002,4.647284,5.508573999999999
171,2020-02-16,DE-NW,68.720295,590976.641141,2361539.309274,285.602618,0.009373000000000001,3.6901059999999997,9.658563000000001
225,2020-02-17,DE-NW,74.502243,2072171.222293,2380415.510029,280.339967,0.003058,4.7604239999999995,6.784288
279,2020-02-18,DE-NW,76.20635,3968802.161877,2395391.805499,279.112759,0.003498,3.62114,7.048729
333,2020-02-19,DE-NW,77.782108,3591988.618549,2391110.512677,277.66752599999995,0.006026,4.887537,5.712457
387,2020-02-20,DE-NW,81.738535,1064801.865562,2383996.1490869997,279.663867,0.006802,3.524003,6.47733
441,2020-02-21,DE-NW,74.479399,3450500.385339,2405467.726504,278.423693,0.000234,5.050485,6.420427
495,2020-02-22,DE-NW,72.004659,1023339.5549379999,2395765.593419,280.688971,0.0040479999999999995,4.1818800000000005,8.003150999999999
549,2020-02-23,DE-NW,86.321486,4817.123745,2384448.907877,281.256108,0.019497999999999998,3.6592290000000003,7.7958490000000005
603,2020-02-24,DE-NW,84.726003,64755.696421,2381115.4630380003,279.29606,0.00793,4.286455,5.521457
657,2020-02-25,DE-NW,76.068814,5096842.088292,2346430.345222,279.695085,0.005254,6.394185,6.274441
711,2020-02-26,DE-NW,88.912437,1095178.694135,2346243.170611,275.36359100000004,0.008695999999999999,4.320712,5.051093
765,2020-02-27,DE-NW,88.937658,185654.789933,2353891.0839529997,274.989196,0.0077540000000000005,5.360604,3.747446
819,2020-02-28,DE-NW,82.238857,2977327.127169,2378256.239182,276.113615,0.004868,6.285102999999999,5.344613
873,2020-02-29,DE-NW,76.550937,3228056.609928,2336605.752817,280.774384,0.002112,7.578544,6.89847
927,2020-03-01,DE-NW,71.65668199999999,4970382.341447,2335097.7827919996,279.252634,0.006823999999999999,5.820374,5.840666000000001
981,2020-03-02,DE-NW,82.11384699999999,1196043.232107,2330255.556119,278.893282,0.006275,5.863872,3.6869910000000004
1035,2020-03-03,DE-NW,79.96803,7112593.5330179995,2356004.95515,277.418014,0.002085,6.9891820000000004,3.8859449999999995
1089,2020-03-04,DE-NW,81.779309,3361101.5502029997,2372358.155229,277.648952,0.0018859999999999999,5.990533999999999,3.168718
1143,2020-03-05,DE-NW,86.74279,802105.034825,2339963.294005,277.944869,0.009979,4.4250620000000005,3.805803
1197,2020-03-06,DE-NW,90.494013,284105.087903,2340487.947825,277.23668,0.006959999999999999,4.607843,4.272917
1251,2020-03-07,DE-NW,74.25171,2987535.258339,2388948.690444,278.418699,0.000916,7.8113589999999995,3.810554
1305,2020-03-08,DE-NW,77.448369,1564394.188951,2378965.52158,281.067517,0.003334,6.633762,5.204578
1359,2020-03-09,DE-NW,79.43509,4879030.479772001,2378490.244478,279.965628,0.0017640000000000002,7.202389,4.36169
1413,2020-03-10,DE-NW,89.995192,5805.080467,2363099.34201,281.863655,0.014244999999999999,5.15551,7.198288000000001
1467,2020-03-11,DE-NW,88.48004399999999,728323.967668,2374439.382691,283.830594,0.011248000000000001,5.582375,5.345923
1521,2020-03-12,DE-NW,65.794848,7503090.993350999,2372170.491323,281.904769,0.004034,11.0,7.976439
1575,2020-03-13,DE-NW,77.407318,6127007.995267,2388493.654834,278.803608,0.0029519999999999998,7.844939999999999,5.807597
1629,2020-03-14,DE-NW,74.949621,6642416.699515,2398670.006874,278.906455,0.00053,10.563669,3.0137259999999997
1683,2020-03-15,DE-NW,64.037104,3619087.362125,2385217.086939,282.461792,2.7000000000000002e-05,10.030650999999999,4.621555
1737,2020-03-16,DE-NW,68.420447,8362822.842010001,2396853.196416,283.06015,0.000642,11.401622999999999,2.050907
1791,2020-03-17,DE-NW,62.981111,10828836.475321,2417825.916667,282.78357,0.000605,12.505071000000001,2.990891
1845,2020-03-18,DE-NW,65.320465,8724758.399932,2412663.3419540003,283.55663599999997,7.000000000000001e-06,12.836376,3.5082519999999997
1899,2020-03-19,DE-NW,75.733194,5444727.568698,2409267.288596,283.328784,0.000312,11.215686,2.065851
1953,2020-03-20,DE-NW,82.748424,1217089.497229,2410254.633593,280.051608,0.0033090000000000003,6.958305,3.887557
2007,2020-03-21,DE-NW,64.30219,5046415.239126001,2415583.929682,277.314846,0.000749,13.294794,5.563544
2061,2020-03-22,DE-NW,49.538002,13792261.055668,2424017.998535,276.388595,0.0,15.194951999999999,5.440911
2115,2020-03-23,DE-NW,39.104278,14076696.223124,2429005.944275,276.309391,0.0,15.569529000000001,4.963191
2169,2020-03-24,DE-NW,38.35615,14114711.682667999,2424409.121309,276.993222,0.0,15.96101,4.059309
2223,2020-03-25,DE-NW,36.894013,14290600.332432,2413182.155623,277.805971,0.0,16.362182,3.951761
2277,2020-03-26,DE-NW,45.202329,13844869.696867002,2403232.763016,278.175723,0.0,16.936669000000002,4.353134
2331,2020-03-27,DE-NW,51.501676,13882079.53144,2397031.364097,281.65232599999996,0.0,17.428442999999998,3.79886
2385,2020-03-28,DE-NW,58.111881999999994,14328833.518143,2402007.281609,281.099808,3e-06,17.859139000000003,4.3281849999999995
2439,2020-03-29,DE-NW,67.86437,5362050.003351999,2415739.540624,275.398277,0.002546,8.828713,5.422394000000001
2493,2020-03-30,DE-NW,67.279553,9327996.192022,2417794.43481,274.83829,0.0013050000000000002,13.688979000000002,2.597808
2547,2020-03-31,DE-NW,63.753370999999994,8158171.959995,2417642.0220310003,276.341943,3e-06,18.447374,2.5483130000000003
2601,2020-04-01,DE-NW,59.036347,13967913.077079,2399031.307753,276.847166,7.000000000000001e-06,18.456615,1.847718
2655,2020-04-02,DE-NW,66.004671,7152539.545977,2380678.6117310002,278.550446,0.000177,14.7016,3.604542
2709,2020-04-03,DE-NW,68.96121,4950054.981378,2387891.211629,279.931718,0.001838,12.000902,3.233294
2763,2020-04-04,DE-NW,57.768397,14945448.951093,2407296.6515099998,280.006543,1e-06,20.245210999999998,2.352989
2817,2020-04-05,DE-NW,46.526379999999996,16422063.873111999,2402607.2070090002,284.76732799999996,0.0,21.066485999999998,4.369826
2871,2020-04-06,DE-NW,42.283984000000004,16429411.773720998,2400399.466306,288.228317,2e-06,21.81181,3.7491209999999997
2925,2020-04-07,DE-NW,65.004388,13300579.335362,2421087.389509,286.900307,1.9e-05,21.361055,2.211911
2979,2020-04-08,DE-NW,53.54571,14152243.862294,2408977.649313,289.006737,1e-06,22.630381,1.779979
3033,2020-04-09,DE-NW,57.17659499999999,15447230.384042999,2409123.157595,287.19652,1e-05,23.160469,2.579206
3087,2020-04-10,DE-NW,55.987289000000004,15088753.054091,2412342.035722,284.50847400000004,1e-06,22.318008,2.539971
3141,2020-04-11,DE-NW,46.851898,17016828.925625,2405889.5229889997,285.663568,7.000000000000001e-06,23.68064,2.129931
3195,2020-04-12,DE-NW,47.150238,15477581.864773002,2386636.875817,288.330811,0.00016299999999999998,24.233491,2.244261
