,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
0,2020-02-13,DE-BB,76.33744399999999,1824290.33235,2403340.782011,276.551573,0.003355,2.777806,4.542822
54,2020-02-14,DE-BB,92.49224699999999,340598.631015,2420690.100301,276.738221,0.000759,0.1647,2.010873
108,2020-02-15,DE-BB,81.744497,1360050.407411,2429750.571993,278.46453399999996,1.1e-05,3.0780819999999998,3.9662699999999997
162,2020-02-16,DE-BB,59.691964,71680.948591,2398150.336179,284.548069,0.002381,2.15064,6.984798
216,2020-02-17,DE-BB,64.189273,900750.37285,2409194.305925,282.31259500000004,0.001005,2.631685,6.319781
270,2020-02-18,DE-BB,71.90463000000001,4042940.094841,2421420.7968240003,279.67946800000004,0.002388,4.037911,6.150824
324,2020-02-19,DE-BB,79.759939,1639041.604883,2413970.93127,278.192659,0.005639,2.7346220000000003,5.5319769999999995
378,2020-02-20,DE-BB,80.749201,1479898.246367,2418812.456628,277.99993900000004,0.001714,2.642229,4.40761
432,2020-02-21,DE-BB,73.943321,3374838.530128,2427199.258599,278.808542,0.0037409999999999995,3.2365049999999997,6.232444999999999
486,2020-02-22,DE-BB,63.869861,908341.952515,2417218.233618,281.208378,0.00233,3.3329150000000003,7.414942
540,2020-02-23,DE-BB,83.19403100000001,3419.046054,2401500.375471,279.67407799999995,0.014594999999999999,3.0263619999999998,6.116087
594,2020-02-24,DE-BB,80.062149,707353.148388,2410546.895368,278.281586,0.0064269999999999996,3.030128,5.307055
648,2020-02-25,DE-BB,75.394159,3458871.574975,2371364.551783,280.662527,0.002096,4.8541300000000005,5.4202129999999995
702,2020-02-26,DE-BB,88.125721,1182080.973277,2368445.502197,276.100353,0.0038759999999999997,3.266131,3.80635
756,2020-02-27,DE-BB,82.98975899999999,3423350.503232,2383668.429136,276.061825,0.0017239999999999998,3.885011,3.06661
810,2020-02-28,DE-BB,77.739603,4305668.820864,2407210.053352,276.41605899999996,0.001449,4.833291,4.299093
864,2020-02-29,DE-BB,79.560579,2900736.8678450002,2375591.602498,279.453081,0.007115000000000001,4.553603,5.320685
918,2020-03-01,DE-BB,73.78609300000001,4293435.485062,2372252.0472009997,279.61025,0.001053,5.0110470000000005,4.622045
972,2020-03-02,DE-BB,82.75846999999999,1966327.077909,2366659.966859,278.61434199999997,0.0025399999999999997,4.765754,3.036896
1026,2020-03-03,DE-BB,88.325616,148724.57722,2379526.2875349997,277.313262,0.00375,3.4426309999999996,2.9741299999999997
1080,2020-03-04,DE-BB,80.970087,5735484.226808,2403447.851054,276.810681,0.0009570000000000001,6.109214,3.044389
1134,2020-03-05,DE-BB,73.288751,6975351.833919,2386858.400452,278.121277,0.000285,8.811198,3.262604
1188,2020-03-06,DE-BB,88.77551899999999,955978.60095,2366954.295255,278.089056,0.0052640000000000004,4.546573,3.6707370000000004
1242,2020-03-07,DE-BB,84.642065,2370403.397345,2409831.365993,277.23540499999996,0.00245,4.817725,4.521953
1296,2020-03-08,DE-BB,78.583378,4456373.386016,2417359.855825,278.351977,5e-06,6.217675,3.4498900000000003
1350,2020-03-09,DE-BB,84.02995,1394872.406358,2407796.073186,279.84067400000004,0.003549,5.090133,2.766725
1404,2020-03-10,DE-BB,88.73896500000001,455603.729859,2393542.288099,279.25757200000004,0.007871,5.539041,5.356882
1458,2020-03-11,DE-BB,75.270234,3960080.887616,2399572.965039,282.685521,0.0026219999999999998,8.289228999999999,5.314865
1512,2020-03-12,DE-BB,66.222424,5350144.087433999,2394222.352937,282.338357,0.004567,7.405975,7.10486
1566,2020-03-13,DE-BB,70.70650400000001,5289576.4520459995,2408450.745041,278.83295499999997,0.0018809999999999999,6.751444,6.6953320000000005
1620,2020-03-14,DE-BB,63.282802000000004,10367680.506402,2439074.106264,275.96900800000003,1e-06,10.826513,2.2511080000000003
1674,2020-03-15,DE-BB,49.420491,8636587.822747,2429122.170977,278.591363,0.0,9.281948,4.738157
1728,2020-03-16,DE-BB,56.853469999999994,8375225.327517,2428544.5441880003,281.615795,0.0,8.175496,2.846367
1782,2020-03-17,DE-BB,73.225449,6769311.626914,2446141.718428,281.43304,0.00023999999999999998,10.141351,2.338849
1836,2020-03-18,DE-BB,64.18024,6683524.7593519995,2441728.700477,283.941896,2e-06,8.036154,3.5535419999999998
1890,2020-03-19,DE-BB,77.158215,2759323.829156,2441002.2361290003,282.539402,0.00025699999999999996,6.530003,2.319188
1944,2020-03-20,DE-BB,75.93506500000001,1794996.290798,2443348.30128,279.801678,0.000566,6.7584740000000005,2.507012
