metric,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
count,358.0,358.0,358.0,358.0,358.0
mean,515.1787709497206,15.843575418994414,6265809.0,0.008222063119857643,0.000252857618529298
std,663.4436908861492,24.366554212924385,0.0,0.010588316542782415,0.0003888812157045383
min,1.0,0.0,6265809.0,1.5959631070784314e-05,0.0
25%,54.5,0.0,6265809.0,0.0008697998933577452,0.0
50%,155.0,3.0,6265809.0,0.002473742815971569,4.787889321235294e-05
75%,831.75,23.0,6265809.0,0.013274423143124856,0.00036707151462803925
max,2734.0,109.0,6265809.0,0.043633631347524314,0.0017395997867154906
