metric,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
count,346.0,346.0,346.0,346.0,346.0
mean,213.01156069364163,7.92485549132948,2143145.0,0.009939204332587933,0.00036977691622962867
std,332.3254819494279,13.695873306628927,0.0,0.015506439459272603,0.0006390549079333837
min,1.0,0.0,2143145.0,4.666039861978541e-05,0.0
25%,10.0,0.0,2143145.0,0.0004666039861978541,0.0
50%,36.0,1.0,2143145.0,0.0016797743503122748,4.666039861978541e-05
75%,308.0,8.0,2143145.0,0.014371402774893906,0.0003732831889582833
max,1567.0,75.0,2143145.0,0.07311684463720373,0.0034995298964839057
