metric,absolute_infections,absolute_deaths,population,infections_(per_100.000),deaths_(per_100.000)
count,358.0,358.0,358.0,358.0,358.0
mean,515.1787709497206,15.843575418994414,6265809.0,8.222063119857639,0.2528576185292979
std,663.4436908861492,24.366554212924385,0.0,10.588316542782419,0.3888812157045385
min,1.0,0.0,6265809.0,0.015959631070784314,0.0
25%,54.5,0.0,6265809.0,0.8697998933577451,0.0
50%,155.0,3.0,6265809.0,2.473742815971569,0.047878893212352946
75%,831.75,23.0,6265809.0,13.274423143124855,0.3670715146280392
max,2734.0,109.0,6265809.0,43.633631347524314,1.7395997867154904
