metric,absolute_infections,absolute_deaths,population,infections_(per_100.000),deaths_(per_100.000)
count,349.0,349.0,349.0,349.0,349.0
mean,214.77077363896848,8.349570200573066,2511917.0,8.550074450667305,0.3323983316555868
std,337.15954161151535,15.448408060261437,0.0,13.422399769240599,0.615004717921072
min,1.0,0.0,2511917.0,0.03981023258332182,0.0
25%,8.0,0.0,2511917.0,0.3184818606665746,0.0
50%,40.0,1.0,2511917.0,1.592409303332873,0.03981023258332182
75%,315.0,8.0,2511917.0,12.540223263746373,0.3184818606665746
max,1594.0,82.0,2511917.0,63.457510737814985,3.2644390718323892
