metric,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
count,345.0,345.0,345.0,345.0,345.0
mean,50.68115942028985,0.9478260869565217,682986.0,0.007420526836610103,0.0001387767958576784
std,62.037988351105014,1.5164417400815908,0.0,0.009083347001418033,0.00022203116024070618
min,1.0,0.0,682986.0,0.00014641588553791733,0.0
25%,7.0,0.0,682986.0,0.0010249111987654213,0.0
50%,20.0,0.0,682986.0,0.0029283177107583464,0.0
75%,79.0,1.0,682986.0,0.011566854957495468,0.00014641588553791733
max,279.0,10.0,682986.0,0.04085003206507894,0.0014641588553791732
