index,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
13,2020-02-13,DE-SN,74.823272,1352189.138118,2340669.027059,275.84961200000004,0.0025210000000000002,3.7151949999999996,5.085935
67,2020-02-14,DE-SN,88.053794,1067297.779594,2356405.3990869997,277.183838,0.002574,1.327674,3.5316970000000003
121,2020-02-15,DE-SN,78.23357299999999,1714292.98594,2368601.154711,278.096381,5e-06,3.911715,4.476668
175,2020-02-16,DE-SN,52.870438,396505.750027,2345174.181982,283.592736,0.00035499999999999996,4.206282,8.098987
229,2020-02-17,DE-SN,67.419686,382160.233758,2351232.560166,281.895916,0.000722,4.2882,5.993089
283,2020-02-18,DE-SN,69.308954,4860546.469121,2363482.77239,278.748377,0.000811,4.922326,6.845711
337,2020-02-19,DE-SN,75.28001,1389678.071705,2354536.874682,277.033732,0.004273,3.568336,6.276305000000001
391,2020-02-20,DE-SN,75.824241,2253598.573496,2358340.754032,277.185404,0.000471,3.202886,4.9721720000000005
445,2020-02-21,DE-SN,72.191046,3471847.8148339996,2367899.853459,277.25241,0.004007,4.120543,6.621175999999999
499,2020-02-22,DE-SN,58.69319300000001,2714064.316718,2362314.563879,280.488319,0.0006889999999999999,4.752971,7.797708
553,2020-02-23,DE-SN,83.737601,5939.112742,2343529.894737,281.05388999999997,0.015527000000000001,2.959677,8.577128
607,2020-02-24,DE-SN,74.949745,2903999.825101,2351068.387203,277.73533100000003,0.0039759999999999995,4.4592529999999995,6.06776
661,2020-02-25,DE-SN,80.084262,1528555.260041,2313839.665853,280.38858,0.002829,4.177844,5.911287000000001
715,2020-02-26,DE-SN,84.32937199999999,3134768.017721,2307533.097199,275.43978599999997,0.005645000000000001,4.182087999999999,5.573384
769,2020-02-27,DE-SN,79.235013,3901483.742837,2319342.320034,275.257688,0.003628,4.760187,4.244733
823,2020-02-28,DE-SN,80.968878,4475247.698536,2345657.067381,274.828748,0.003133,5.268251,5.216573
877,2020-02-29,DE-SN,79.616824,4831727.894312,2317805.05486,278.139943,0.0048,5.806026999999999,6.665567
931,2020-03-01,DE-SN,73.42398100000001,5453122.246180001,2312600.948748,279.372766,0.001067,5.775467,5.466177
985,2020-03-02,DE-SN,70.335578,4206245.916039,2302150.050615,278.758797,0.000935,7.362054,4.481408999999999
1039,2020-03-03,DE-SN,84.409022,330455.546951,2315727.243633,276.620281,0.0056,4.962224,3.811347
1093,2020-03-04,DE-SN,78.54855400000001,6436346.537458,2340689.4581919997,275.976726,0.000567,7.772496,3.7393110000000003
1147,2020-03-05,DE-SN,69.483021,6506597.784805001,2319940.714346,277.508767,0.0017530000000000002,8.615025,4.246629
1201,2020-03-06,DE-SN,82.83601800000001,3999506.2028860003,2302759.402377,278.44975800000003,0.0044,5.136672,5.227197
1255,2020-03-07,DE-SN,83.423289,3957683.6862800005,2347506.466575,276.22070099999996,0.004468,5.122666000000001,5.272232
1309,2020-03-08,DE-SN,73.341808,5045885.92466,2355348.245968,277.89169,6e-06,7.307301,4.089965
1363,2020-03-09,DE-SN,80.006968,1378665.2558459998,2345505.80348,278.874603,0.002908,5.0390489999999994,3.430249
1417,2020-03-10,DE-SN,83.899188,503030.15378199995,2336718.568867,278.507809,0.007462999999999999,5.658744,6.427147
1471,2020-03-11,DE-SN,87.44267099999999,904013.900076,2341010.671053,282.302189,0.012121999999999999,5.266978,5.173978
1525,2020-03-12,DE-SN,70.38533199999999,3899368.0549660004,2337793.113222,282.49242999999996,0.0014060000000000001,6.389643,6.817944000000001
1579,2020-03-13,DE-SN,68.325889,8027755.488328,2350374.563773,278.344671,0.001428,7.721562,6.906685
1633,2020-03-14,DE-SN,64.066556,8843680.064728,2371284.515811,276.124126,0.000188,11.771647,2.555714
1687,2020-03-15,DE-SN,45.285354999999996,10643886.896435,2365305.089452,277.970505,0.0,11.143888,5.426825
1741,2020-03-16,DE-SN,52.046605,10522229.608659,2365322.019737,280.907096,2e-06,9.764431,3.8591309999999996
1795,2020-03-17,DE-SN,78.35314100000001,7503688.898769001,2382068.134868,281.135262,0.001185,9.908319,2.350094
1849,2020-03-18,DE-SN,73.815688,9376089.91893,2379873.055497,283.003213,0.0,13.214345999999999,3.257079
1903,2020-03-19,DE-SN,73.310868,5631475.655348,2374671.966256,283.39713900000004,0.000109,11.84253,2.174409
1957,2020-03-20,DE-SN,88.81974100000001,1208361.5478959999,2372178.3996180003,279.129153,0.00451,5.692275,3.141253
2011,2020-03-21,DE-SN,73.1093,3049024.170681,2381000.892084,275.097641,0.001397,8.376061,4.661962
2065,2020-03-22,DE-SN,58.04258299999999,6780624.437712001,2395904.584784,272.1702,4e-05,15.075126999999998,3.627704
2119,2020-03-23,DE-SN,50.806793,13793074.281409,2402346.9948009998,271.854649,0.0,16.679542,2.876344
2173,2020-03-24,DE-SN,47.377265,14230768.393463,2396920.764113,273.089392,0.0,16.802632,3.218991
2227,2020-03-25,DE-SN,42.980838,14368341.976231,2384514.278332,274.414537,0.0,16.989813,4.042694
2281,2020-03-26,DE-SN,51.132104,12794279.389642999,2374014.879775,276.515795,0.0,15.887097,4.497383
2335,2020-03-27,DE-SN,52.584161,13376060.859508,2364496.310908,281.335023,0.0,16.278862,3.6519739999999996
2389,2020-03-28,DE-SN,62.297692000000005,14214790.884126,2358913.218591,279.783248,0.0,17.873089999999998,2.896976
2443,2020-03-29,DE-SN,81.856398,3967152.8906519995,2366593.6251060003,274.58819500000004,0.00315,7.379457,4.690283999999999
2497,2020-03-30,DE-SN,63.388186,12080775.895586,2377057.011036,272.87904199999997,0.000454,17.67275,2.878829
2551,2020-03-31,DE-SN,64.970828,7814625.0859509995,2380693.7970080003,272.970258,0.000604,14.10399,2.905696
2605,2020-04-01,DE-SN,54.472554,15548273.932937,2363071.0113540003,274.373302,0.0,19.726654999999997,2.448032
2659,2020-04-02,DE-SN,56.487242,12463475.83871,2343146.662564,277.442034,2e-06,19.54202,2.800783
2713,2020-04-03,DE-SN,65.979772,6020115.250371,2350161.951719,278.40500699999996,0.000722,11.601019,3.6500410000000003
2767,2020-04-04,DE-SN,65.603011,5935218.705539,2375791.95798,279.12836400000003,0.000199,16.692698999999998,1.9603650000000001
2821,2020-04-05,DE-SN,51.474655,16060049.539049,2380834.336057,281.627743,0.0,22.148132,4.059253
2875,2020-04-06,DE-SN,40.675136,16495242.482173001,2373730.228884,285.807517,0.0,22.708829,4.130339
2929,2020-04-07,DE-SN,54.40178100000001,16106201.487267,2387332.0108229998,286.452996,0.0,23.065365,2.987921
2983,2020-04-08,DE-SN,45.346868,16890311.451613,2378114.342105,286.35157000000004,0.0,23.301358,2.6515560000000002
3037,2020-04-09,DE-SN,53.98789300000001,14659176.075552,2371853.038731,285.00642400000004,4e-06,23.497878,2.860357
3091,2020-04-10,DE-SN,63.070439,10882704.553480001,2375852.9502330003,283.241647,0.0,23.331494,1.9942259999999998
3145,2020-04-11,DE-SN,53.829455,17003623.297538,2375671.234295,281.828583,0.0,23.960102,1.7650430000000001
3199,2020-04-12,DE-SN,47.639623,16710184.505517999,2354435.9809,286.955187,2.3e-05,24.482598,2.786388
3253,2020-04-13,DE-SN,62.345434,9438126.908530999,2350392.955221,280.316193,0.001099,12.826825,4.513783999999999
3307,2020-04-14,DE-SN,55.209881,8327823.797963001,2367998.2685700003,276.698867,0.00057,20.532258,4.131172
3361,2020-04-15,DE-SN,55.955672,15803547.616299,2369482.105581,280.228373,0.0,21.626910000000002,3.7351870000000003
3415,2020-04-16,DE-SN,51.657651,14555130.294567002,2356704.978778,285.381329,0.0,21.879032000000002,2.644006
3469,2020-04-17,DE-SN,60.703539,16028105.850594,2356194.252865,284.115018,0.0,24.619694,2.044785
3523,2020-04-18,DE-SN,54.146889,16095708.474533,2355278.3996180003,285.025962,0.000502,26.445671,2.149013
3577,2020-04-19,DE-SN,47.940205999999996,16513612.796264999,2363128.717105,282.28154,0.001504,24.847199,3.895319
3631,2020-04-20,DE-SN,45.631516999999995,19318846.524618,2370969.910548,281.6101,0.0,28.069609999999997,4.795816
3685,2020-04-21,DE-SN,45.317701,19222543.696944002,2370331.88402,283.313795,0.0,28.677844,5.345064
3739,2020-04-22,DE-SN,45.317972,19441041.984720003,2371764.960314,284.074503,0.0,29.203734999999998,4.176643
3793,2020-04-23,DE-SN,48.708077,19476301.624788,2365705.692593,285.11217400000004,0.0,29.518676,2.591725
3847,2020-04-24,DE-SN,47.883362,8724960.833403999,2339642.261248,286.712015,0.0,22.361629999999998,4.016776
3901,2020-04-25,DE-SN,65.664919,3347632.358765,2341804.176889,281.378327,0.00036899999999999997,13.549235999999999,3.777793
3955,2020-04-26,DE-SN,57.686085,10256789.433362,2343503.462967,283.212128,0.00022,27.457131,1.906522
4009,2020-04-27,DE-SN,47.848196,17743196.761885002,2337584.532895,286.85236299999997,0.0,30.503396000000002,2.8090319999999998
4063,2020-04-28,DE-SN,54.39224,9590956.933786,2328497.110144,289.22357900000003,0.000773,26.295415999999996,3.0322400000000003
4117,2020-04-29,DE-SN,74.02893,6238660.400042,2330651.850594,286.267694,0.002681,15.747453,3.5377440000000004
4171,2020-04-30,DE-SN,70.430099,4918952.696838,2329859.152589,285.965993,0.000863,18.477504,4.074943
4225,2020-05-01,DE-SN,66.220057,12862153.755092999,2325129.7060700003,284.480276,0.001905,26.290322999999997,4.817035
4279,2020-05-02,DE-SN,79.86008000000001,9283567.429117,2334327.776104,281.410931,0.005325,19.660866,4.382322
4333,2020-05-03,DE-SN,73.875344,12755465.439304,2356443.182831,282.610444,0.001686,20.755518,3.3012040000000002
4387,2020-05-04,DE-SN,78.91435899999999,6818205.2632639995,2355940.5041380003,282.39653,0.005261,19.022071,2.645045
4441,2020-05-05,DE-SN,74.707038,14262427.640492002,2360552.6178900003,279.26144,0.001004,26.874788,3.3567730000000005
4495,2020-05-06,DE-SN,64.205762,8026721.435378,2368756.434104,281.399785,1.4999999999999999e-05,26.997453000000004,3.6214190000000004
4549,2020-05-07,DE-SN,61.02384,17630153.240238,2369304.661927,282.692066,3e-06,32.476231,3.5214839999999996
4603,2020-05-08,DE-SN,53.213626,15438245.609082999,2359045.07152,287.217802,0.0,28.931664,2.3190720000000002
4657,2020-05-09,DE-SN,51.689083000000004,14555069.153862,2349484.788094,288.492949,0.00031099999999999997,25.75382,2.255484
4711,2020-05-10,DE-SN,69.59055,10198905.844652,2331828.268145,289.671457,0.0034509999999999996,24.633277,2.5116099999999997
4765,2020-05-11,DE-SN,92.456446,102890.489012,2331172.4733659998,279.658033,0.01598,15.489813,4.703661
4819,2020-05-12,DE-SN,67.995948,11186315.865025,2354753.187924,278.146644,0.00021,31.894737,2.9102080000000004
4873,2020-05-13,DE-SN,58.79490799999999,8576917.10208,2345031.399406,281.86760699999996,0.00018700000000000002,30.770374,1.9765720000000002
4927,2020-05-14,DE-SN,66.036027,11962673.439516,2354561.347411,282.245632,0.000978,29.689728000000002,2.825386
4981,2020-05-15,DE-SN,60.477385999999996,12764829.173599001,2360127.892827,281.748191,6e-06,30.615025,2.657162
5035,2020-05-16,DE-SN,57.754940000000005,13291820.179117,2366936.38264,283.559065,2.6000000000000002e-05,37.466469000000004,2.751434
5089,2020-05-17,DE-SN,58.805248999999996,12724619.71562,2367940.8146220003,284.822445,0.000154,36.853565,2.757403
5143,2020-05-18,DE-SN,57.354772,14520158.055178,2368582.3655560003,287.624896,0.0,34.382852,2.890896
5197,2020-05-19,DE-SN,61.875159,10171069.767827,2364768.048918,288.93715299999997,6.1e-05,34.241087,3.243533
5251,2020-05-20,DE-SN,67.90443,4729085.753183,2367960.180497,286.888188,0.000362,23.589983,1.996061
5305,2020-05-21,DE-SN,54.851029000000004,14810371.529287,2371587.930497,286.879117,0.0,38.941851,2.0937799999999998
5359,2020-05-22,DE-SN,60.779693,7965812.622559,2367848.674342,288.4108,0.006412,27.850170000000002,3.021928
5413,2020-05-23,DE-SN,81.646406,974680.905885,2367356.530454,286.549254,0.006626999999999999,22.340407,3.684219
5467,2020-05-24,DE-SN,73.467083,14500384.767401999,2377458.622135,284.840124,0.003273,30.40365,4.921086
5521,2020-05-25,DE-SN,84.512245,7137784.457130999,2384360.3071939996,283.610943,0.004732,19.098048000000002,4.465048
5575,2020-05-26,DE-SN,72.46551600000001,11098403.570883,2395648.444185,285.670594,0.001364,33.467742,2.773187
5629,2020-05-27,DE-SN,63.135932999999994,13726497.859083,2390955.348472,287.691724,0.000475,40.689728,2.211451
5683,2020-05-28,DE-SN,70.787278,13754513.751273,2384346.046583,285.70985099999996,0.0039840000000000006,30.50382,3.556919
5737,2020-05-29,DE-SN,59.863918000000005,15002887.89601,2380363.855475,285.969621,9.6e-05,40.955008,3.00549
5791,2020-05-30,DE-SN,57.424091000000004,11858187.356112,2370247.9845080003,285.106741,5e-05,37.874788,3.322337
5845,2020-05-31,DE-SN,67.409516,3561031.964028,2365980.2593380003,285.887697,7e-05,28.710526,3.264935
5899,2020-06-01,DE-SN,56.780776,22213553.272496,2368553.653014,288.682509,0.0,45.912988,2.7522759999999997
5953,2020-06-02,DE-SN,61.599287,20428239.848472,2356024.7247450002,289.182261,0.000364,44.610781,2.372107
6007,2020-06-03,DE-SN,63.164334999999994,16299631.898981,2330329.2345080003,290.097832,0.000386,39.976231,2.251134
6061,2020-06-04,DE-SN,77.379329,6027219.756367,2308105.5186759997,288.64200800000003,0.005302,26.342954,2.91249
6115,2020-06-05,DE-SN,75.699023,9409201.511885,2310288.448005,286.007696,0.003399,27.013582,4.677398
6169,2020-06-06,DE-SN,72.204145,4121745.603353,2327188.589452,285.46483,0.000872,25.887521,4.292945
6223,2020-06-07,DE-SN,83.23487800000001,1662413.203868,2337852.972941,285.477559,0.006915999999999999,26.306027,2.458278
6277,2020-06-08,DE-SN,67.700597,10150050.846138,2349649.3391340002,287.253396,0.000468,36.471138,1.680307
6331,2020-06-09,DE-SN,69.02064,4795400.461480999,2352569.016023,288.42900000000003,0.001771,29.467316999999998,2.483524
6385,2020-06-10,DE-SN,75.974296,4050617.996339,2346803.115238,288.17398399999996,0.006629,25.73854,2.516421
6439,2020-06-11,DE-SN,83.951375,4091754.4809,2341433.9757,289.413307,0.002994,22.609932,1.912666
