date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-05-02,DE-MV,77.008275,10875949.570101,2400981.092883,283.112725,0.00386,21.387991,3.8429059999999997
2020-05-03,DE-MV,75.27901800000001,7934824.122828,2425781.654602,283.565812,0.000512,20.803109,3.891486
2020-05-04,DE-MV,69.897675,10658737.170146002,2431290.204587,282.378104,0.000681,20.192319,3.261788
2020-05-05,DE-MV,70.03256999999999,13541857.307833001,2436305.900945,280.743983,0.001749,26.192624,4.121049
2020-05-06,DE-MV,61.712915,19992103.244742002,2442300.1709080003,283.297042,0.0,31.955501,5.222907
2020-05-07,DE-MV,68.37056899999999,10516859.150564,2440588.897745,283.970436,1.3000000000000001e-05,24.406582999999998,4.104381
2020-05-08,DE-MV,63.135889,19679950.73697,2432676.363304,284.964733,0.0,32.104846,2.868864
2020-05-09,DE-MV,66.579249,16690214.950320002,2425891.168394,287.371979,0.000218,28.343798,1.894257
2020-05-10,DE-MV,61.750147999999996,13370093.192624,2405847.258534,289.324076,0.000734,25.90064,3.3324839999999996
2020-05-11,DE-MV,63.492631,4630090.957140001,2412716.4991619997,280.07812,0.002055,17.889973,5.300776
2020-05-12,DE-MV,67.92621700000001,12987459.990552,2422392.941253,279.904344,0.002577,24.202682,4.708547
2020-05-13,DE-MV,77.198953,11789142.506858,2420490.725084,280.737524,0.005564,17.823529,2.8130610000000003
2020-05-14,DE-MV,63.681002,16116582.54587,2433200.888982,280.963946,0.00028900000000000003,33.689119,3.306144
2020-05-15,DE-MV,69.49244499999999,11944881.237123,2433370.084197,281.532179,0.000394,22.080157999999997,4.541932
2020-05-16,DE-MV,63.497241,9537825.414660001,2434611.288936,284.13749900000005,0.000598,21.580616,5.244886
2020-05-17,DE-MV,61.152587,12701706.903688,2436259.9543580003,285.830826,0.000401,27.183481,5.752861
2020-05-18,DE-MV,71.507077,763781.059464,2436112.3636849998,286.61996400000004,0.001759,14.871685000000001,4.544161
2020-05-19,DE-MV,72.999359,7519311.762191,2435901.280859,286.48264900000004,0.000868,20.402926,4.463056
2020-05-20,DE-MV,67.627622,19057692.604694,2445253.880905,284.946185,0.0,35.039012,2.467043
2020-05-21,DE-MV,60.600331999999995,17388117.538555,2448229.261429,286.76075,0.0,31.948796,2.141559
2020-05-22,DE-MV,54.779084,9636399.184014,2438913.873133,288.85855499999997,0.003599,22.813167,3.7767739999999996
2020-05-23,DE-MV,77.010009,3349396.7755259997,2434886.76402,286.776059,0.002877,17.568424,3.664721
2020-05-24,DE-MV,74.750601,7528898.203139,2442257.896983,285.29648399999996,0.0037549999999999997,19.662603,5.199378
2020-05-25,DE-MV,80.605724,5229053.853094,2457206.282383,284.870885,0.00156,18.115209,4.126633999999999
2020-05-26,DE-MV,74.907413,15552852.581682,2473149.041679,286.231846,0.00032599999999999996,34.156964,2.1323689999999997
2020-05-27,DE-MV,66.765614,13715907.339835001,2466244.715254,287.71396400000003,5.6999999999999996e-05,31.883877000000002,3.1717020000000002
2020-05-28,DE-MV,67.183852,17553069.661384,2464197.007772,286.507352,0.000167,38.483389,3.7477620000000003
2020-05-29,DE-MV,62.025783,17190911.774459,2460284.803718,286.935634,1.7e-05,37.766839000000004,2.4035040000000003
2020-05-30,DE-MV,61.545460999999996,16956385.213654,2452692.45192,286.92449,3.5e-05,32.05608,3.8425870000000004
2020-05-31,DE-MV,60.984051,16897135.455349,2448941.7684400002,287.728842,0.000231,34.494971,5.677253
2020-06-01,DE-MV,57.964507,22610067.053947,2450215.5016759997,288.96918900000003,0.0,42.635172,3.7680580000000004
2020-06-02,DE-MV,57.556835,21930187.543432,2430666.070482,291.074295,4e-05,42.840596999999995,2.932275
2020-06-03,DE-MV,59.959368999999995,18789025.890277,2404965.028269,289.534033,0.000103,37.019811,3.132269
2020-06-04,DE-MV,72.005662,6428591.152012,2378224.310881,288.672694,0.011415999999999999,19.316367,3.2088259999999997
2020-06-05,DE-MV,71.587464,13111360.437975999,2373389.710073,286.548489,0.007234999999999999,27.846998,4.177236
2020-06-06,DE-MV,66.62580799999999,17046555.650411,2389922.258305,285.388121,0.001621,34.786041,5.022501
2020-06-07,DE-MV,65.556179,10571023.936757,2406736.2169310004,287.661753,0.000376,32.139592,3.062882
2020-06-08,DE-MV,68.390229,11741845.494208999,2423117.894468,287.295769,0.000314,34.667175,2.105029
2020-06-09,DE-MV,68.04525100000001,14919045.973484,2432285.549528,288.45460099999997,0.000218,41.519354,2.532434
2020-06-10,DE-MV,70.732407,11528028.199939,2427927.992609,288.497053,0.001684,21.870770999999998,3.542266
2020-06-11,DE-MV,89.010492,1402484.837807,2420476.609646,288.36629300000004,0.005128,19.178909,4.241546
2020-06-12,DE-MV,87.815833,8202067.394239999,2420795.416032,289.982637,0.000217,25.646449,3.40401
2020-06-13,DE-MV,87.26796,10756865.800366001,2421604.560119,291.07277200000004,0.004652,29.873209000000003,4.226656
2020-06-14,DE-MV,73.054884,12968428.601951,2424741.242457,291.25583,0.00058,37.447728999999995,4.821786
2020-06-15,DE-MV,64.695419,19997661.969521,2428067.7298080004,290.753138,0.0,44.197806,2.760646
2020-06-16,DE-MV,58.983035,21223453.790308,2423870.2359040002,292.329711,1e-06,43.442243,2.228262
2020-06-17,DE-MV,61.936873999999996,19710167.540689003,2419649.85317,293.274954,2e-06,43.435233000000004,2.417455
2020-06-18,DE-MV,75.913012,10018865.755028998,2416814.140735,291.02718,0.00398,25.146297,3.263155
2020-06-19,DE-MV,89.92234,1178899.346912,2419336.775221,289.69426699999997,0.0082,19.876867,3.174831
2020-06-20,DE-MV,88.441733,954904.7525530001,2429105.988494,289.42296899999997,0.009064000000000001,20.683938,4.936548999999999
2020-06-21,DE-MV,75.676452,10596741.298842,2434481.3662759997,290.503627,0.0015019999999999999,30.606522,3.672242
2020-06-22,DE-MV,68.339993,17371320.940872,2441815.840597,291.198188,0.000225,43.06431,3.731901
2020-06-23,DE-MV,65.279666,21247208.501067,2450734.326425,290.37127200000003,4e-06,43.597074,3.02367
2020-06-24,DE-MV,68.525719,15974017.034136,2451874.589988,292.24377400000003,0.000154,42.273087,2.6837470000000003
