index,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
923,2020-03-01,DE-HE,73.830486,3032277.479437,2304272.542794,279.419586,0.0070799999999999995,6.068544,6.071753
977,2020-03-02,DE-HE,79.47642900000001,5077009.248333001,2296550.9452580004,278.447087,0.003589,6.063357,3.7370010000000002
1031,2020-03-03,DE-HE,79.32767199999999,5841126.076973001,2319897.773805,276.748557,0.003564,6.369026,3.729914
1085,2020-03-04,DE-HE,85.319541,2659860.787143,2338333.03279,275.803857,0.001426,5.653575,3.0352650000000003
1139,2020-03-05,DE-HE,87.721624,470226.63200000004,2306695.708688,277.170119,0.012322,4.375324,4.033066000000001
1193,2020-03-06,DE-HE,88.30743299999999,191042.52166300002,2301927.1608,277.521415,0.008047,4.89811,5.425946
1247,2020-03-07,DE-HE,75.42784499999999,3759898.1306040003,2352644.566228,277.069571,0.001075,6.037792,3.842825
1301,2020-03-08,DE-HE,74.178877,1764919.2057009998,2348695.2681549997,279.59932599999996,0.001591,5.437569,4.773161
1355,2020-03-09,DE-HE,78.843888,5798808.2590769995,2344442.099574,279.44915299999997,0.0016829999999999998,7.045572,3.9296379999999997
1409,2020-03-10,DE-HE,91.031028,1879.9175260000002,2334178.032327,279.813994,0.011823,5.112634,6.512452
1463,2020-03-11,DE-HE,87.277074,122230.93279400001,2342104.667469,284.239433,0.009539,5.3856980000000005,6.171835
1517,2020-03-12,DE-HE,67.880573,3879854.817896,2339522.6203220002,282.36811,0.0026850000000000003,6.898480999999999,6.9671
1571,2020-03-13,DE-HE,69.810875,6042700.957299,2354278.447851,278.561378,0.0014990000000000001,8.470915,5.854329
1625,2020-03-14,DE-HE,77.812278,5147424.3379959995,2364291.476288,277.856579,0.000718,7.751389,2.256955
1679,2020-03-15,DE-HE,63.844278,7626922.757688001,2354006.1048540003,280.281394,2e-06,11.344202000000001,4.07904
1733,2020-03-16,DE-HE,66.932927,10617930.569841001,2360795.607725,282.275394,6.8e-05,10.391627,2.185305
1787,2020-03-17,DE-HE,70.992977,6693182.1363470005,2380751.759077,282.866379,0.0008039999999999999,11.284179,2.300733
1841,2020-03-18,DE-HE,74.760922,6333484.257318,2377769.825584,282.24265,1.8e-05,13.402742000000002,2.5190099999999997
1895,2020-03-19,DE-HE,71.729549,6131929.774731,2371277.0462209997,283.308941,3.5e-05,13.709522,1.789936
1949,2020-03-20,DE-HE,78.410696,4582307.467013,2367715.884772,281.656577,0.001287,9.899963,4.152893
2003,2020-03-21,DE-HE,67.31983000000001,3051173.70331,2374167.4497040003,276.97601099999997,0.002559,9.909967,6.536304
2057,2020-03-22,DE-HE,48.527273,14219564.892923001,2385853.643386,275.455447,0.0,16.069285,5.934122
2111,2020-03-23,DE-HE,41.43845,14540961.638755,2392617.912004,274.77547999999996,0.0,16.629122,4.768689
2165,2020-03-24,DE-HE,41.42494,14696093.163394,2387658.5603,275.217251,0.0,17.154872,4.055717
2219,2020-03-25,DE-HE,38.959564,14985633.564654,2373999.11143,276.098923,0.0,17.617266,4.589975
2273,2020-03-26,DE-HE,47.5596,11768816.911078,2362524.4490549997,277.679171,0.0,17.683957,5.140473
2327,2020-03-27,DE-HE,50.898481,14116894.871063,2356009.592627,281.87122,0.0,18.141904,4.335167
2381,2020-03-28,DE-HE,53.652892,14673310.561319001,2359032.974898,282.303356,0.0,18.363838,4.024353
2435,2020-03-29,DE-HE,66.699835,3110150.552844,2370388.0680810004,276.18548,0.0018329999999999998,8.836977000000001,5.533363
