date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-03-07,DE-ST,78.60156500000001,3630759.608542,2398384.8006619997,277.65654,0.0016899999999999999,6.126885,4.633724
2020-03-08,DE-ST,73.718191,4582502.967543,2399730.075487,279.459039,4e-05,5.304524,3.8784949999999996
2020-03-09,DE-ST,77.66686800000001,4661130.248759,2392394.680121,280.54602400000005,0.002865,6.132402,3.323468
2020-03-10,DE-ST,84.63760699999999,134273.019819,2377943.1902349996,280.164332,0.007103,5.0996690000000005,5.927944999999999
2020-03-11,DE-ST,77.79656,2533591.139022,2386600.432604,283.302467,0.004214,6.266274,4.850674
2020-03-12,DE-ST,63.028943000000005,6030577.231243,2381730.0548,282.732896,0.0030510000000000003,8.264435,7.273835000000001
2020-03-13,DE-ST,70.903654,6948178.42203,2396780.056179,278.868645,0.001542,7.8506800000000005,6.678342
2020-03-14,DE-ST,66.89393299999999,8153619.297904,2421196.904193,276.809952,1.7e-05,10.941155,2.5859919999999996
2020-03-15,DE-ST,54.643953,8111775.284847,2409244.8184990003,279.926243,0.0,9.256344,4.375401999999999
2020-03-16,DE-ST,60.335558,9427563.742736,2412406.9952189997,282.262836,0.0,9.447591000000001,2.524499
2020-03-17,DE-ST,71.659711,8202359.60206,2430956.846727,282.146502,0.000986,10.103347,2.427262
2020-03-18,DE-ST,63.510925,8769688.828338,2426861.8018569998,283.619587,0.0,10.116955,3.418693
2020-03-19,DE-ST,74.048622,4853242.2074,2425113.13093,283.426601,0.000102,8.562707000000001,2.438936
2020-03-20,DE-ST,79.25247900000001,456264.685604,2426881.021515,279.870941,0.001956,5.187201,3.025173
2020-03-21,DE-ST,64.578562,5328664.703751001,2437392.291835,276.56171800000004,5.2000000000000004e-05,9.426260000000001,4.911694000000001
2020-03-22,DE-ST,53.875941000000005,11571853.153365,2450717.892883,274.476043,0.0,15.136447,3.97493
2020-03-23,DE-ST,46.863147999999995,13554755.474439,2455743.7448509997,273.82984500000003,0.0,15.949245999999999,2.8745
2020-03-24,DE-ST,45.099918,13776782.310776,2449718.793674,274.815188,0.0,16.373299,3.055924
2020-03-25,DE-ST,41.528385,13618058.141228,2437788.487495,276.093138,0.0,16.483634,3.818659
2020-03-26,DE-ST,46.202395,13511521.143435001,2426988.570522,277.771408,0.0,16.916145999999998,4.115444999999999
2020-03-27,DE-ST,50.238294,13578003.504597,2417803.129735,281.737135,0.0,16.969842,3.8235550000000003
2020-03-28,DE-ST,57.444097,14114724.761309,2413107.130747,280.72187,4e-06,17.005517,3.461047
2020-03-29,DE-ST,72.596967,1918037.57774,2423820.192166,275.677752,0.002775,6.511953,4.979269
2020-03-30,DE-ST,72.242783,7005131.518021001,2430062.694097,273.439249,0.00228,9.80434,3.04945
2020-03-31,DE-ST,64.23970200000001,7966558.960463,2434688.5359509997,274.53150800000003,8.7e-05,12.929018,2.354921
2020-04-01,DE-ST,57.947939,13130487.626149,2412946.909526,276.574884,4e-06,17.616771,3.002771
2020-04-02,DE-ST,61.334081000000005,7841512.929753999,2391693.206602,279.03383199999996,6.8e-05,12.879000000000001,4.136588
2020-04-03,DE-ST,58.153420999999994,7511291.097738001,2399178.896469,280.128693,0.000305,13.629643,3.967079
2020-04-04,DE-ST,56.961587,7241682.282641,2426470.882218,280.245695,6.500000000000001e-05,19.232806,1.781957
