date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
2020-02-13,DE-BB,76.33744399999999,1824290.33235,2403340.782011,3.4015730000000417,0.003355,2.777806,4.542822,Brandenburg
2020-02-13,DE-BE,76.065297,1786373.222902,2408181.7027970003,3.6946330000000103,0.0035229999999999997,4.671329,4.761508999999999,Berlin
2020-02-13,DE-BW,80.113988,1505759.748267,2290157.738271,3.077143000000035,0.008013,4.268546,4.467023999999999,Baden-Württemberg
2020-02-13,DE-BY,81.554346,2363012.9499419997,2275361.322811,2.4330530000000294,0.005227000000000001,4.417797,3.6774139999999997,Bayern
2020-02-13,DE-HB,87.16741400000001,8389.755794,2406939.730769,3.0874520000000416,0.0077150000000000005,1.794872,4.699573,Bremen
2020-02-13,DE-HE,89.200446,307067.768686,2331353.181641,2.2039740000000734,0.005441,2.624676,4.398072,Hessen
2020-02-13,DE-HH,86.685698,209488.601444,2404975.492424,2.5854760000000283,0.005799,3.242424,4.363794,Hamburg
2020-02-13,DE-MV,81.246496,2115141.10456,2407069.641877,3.205814000000032,0.002628,2.02164,4.910115,Mecklenburg-Vorpommern
2020-02-13,DE-NI,87.179525,60634.84104,2391909.217105,2.721952999999985,0.007431,1.937668,4.307425,Niedersachsen
2020-02-13,DE-NW,85.525648,441980.954719,2361307.6076740003,3.606529000000023,0.007882,2.8972279999999997,4.687521,Nordrhein-Westfalen
2020-02-13,DE-RP,89.927054,765036.315103,2326436.248215,2.9071970000000533,0.006326,3.7128120000000004,4.820924,Rheinland-Pfalz
2020-02-13,DE-SH,88.33686999999999,523403.754369,2406366.3522119997,2.8394700000000626,0.004933,1.525916,4.786011,Schleswig-Holstein
2020-02-13,DE-SL,88.784533,910951.307065,2330070.100543,3.3924410000000194,0.00758,4.013587,5.792912,Saarland
2020-02-13,DE-SN,74.823272,1352189.138118,2340669.027059,2.6996120000000587,0.0025210000000000002,3.7151949999999996,5.085935,Sachsen
2020-02-13,DE-ST,80.708839,416147.902607,2385273.834958,2.935706000000039,0.004409000000000001,2.1033470000000003,4.396736,Sachsen-Anhalt
2020-02-13,DE-TH,83.149783,181806.461939,2317997.488225,2.0935080000000426,0.004016,3.009039,5.137631,Thüringen
2020-02-13,DK-81,86.342782,2555655.410946,2403425.985698,3.145413000000019,0.00046399999999999995,2.071701,3.3846519999999995,
2020-02-13,DK-82,87.751343,2153148.911284,2399142.413716,3.577344000000039,0.001325,2.990025,3.801099,
2020-02-13,DK-83,86.736915,1451332.970356,2402262.757361,3.7249530000000277,0.0034969999999999997,3.1311560000000003,4.7732779999999995,
2020-02-13,DK-84,84.394247,3058965.136259,2409240.225173,3.9705430000000206,0.0012900000000000001,2.842956,4.8846419999999995,
2020-02-13,DK-85,86.20003299999999,2891116.893649,2408930.361893,3.7638319999999794,0.002166,3.071611,5.2760050000000005,
2020-02-13,NL-DR,91.711788,106694.164287,2403207.339005,3.7783400000000142,0.010772,0.26178,4.431883,
2020-02-13,NL-FL,89.725649,605101.32192,2402641.711594,5.014065000000016,0.012001000000000001,0.785507,6.057862,
2020-02-13,NL-FR,91.979761,338643.539101,2402547.396423,4.321187000000009,0.009651999999999999,0.898502,5.811592,
2020-02-13,NL-GE,88.67211999999999,536418.071371,2400907.3505470003,5.125055000000032,0.012576,2.116279,4.602913,
2020-02-13,NL-GR,91.94805,44139.434557,2404532.843923,3.5458320000000185,0.009448,0.8508290000000001,4.974551,
2020-02-13,NL-LI,84.82207,1082288.804044,2389651.694853,5.7817980000000375,0.007792,3.4235290000000003,4.996373,
2020-02-13,NL-NB,87.26509200000001,1124707.368543,2401448.5365009997,5.889724000000058,0.010404,2.9146009999999998,4.870965,
2020-02-13,NL-NH,88.107102,996737.26808,2401748.151341,5.589538000000005,0.011493999999999999,2.455939,6.679406,
2020-02-13,NL-OV,88.556069,241307.968218,2402153.738477,4.2696580000000495,0.010998,0.318637,4.451996,
2020-02-13,NL-UT,89.681111,909750.2786569999,2402555.037118,5.402455000000032,0.013531999999999999,2.445415,5.176419,
2020-02-13,NL-ZE,85.908281,1767262.215805,2402465.8715810003,6.735256000000049,0.011584,3.297872,7.87443,
2020-02-13,NL-ZH,89.136044,1348079.5588389998,2402664.5829720004,5.9144450000000575,0.012605,2.848156,6.538928,
2020-02-13,SE-AB,77.031734,3628275.306675,2389095.34194,-0.028421999999977743,0.0,0.0,3.6755910000000003,
2020-02-13,SE-AC,93.14477600000001,1134221.46999,2268189.1445049997,-11.221601999999962,0.000194,0.0,1.294817,
2020-02-13,SE-BD,84.985182,583835.5061850001,2250394.256954,-13.614287999999988,0.00011200000000000001,0.0,1.603159,
2020-02-13,SE-C,80.092733,3148762.827134,2386330.1610310003,-1.0424359999999524,0.0,0.0,2.669467,
2020-02-13,SE-D,70.096824,3900326.001982,2387066.403965,0.4491790000000151,0.0,0.0,3.631942,
2020-02-13,SE-E,72.114807,4095439.9804419996,2372508.048962,1.0542180000000485,0.0,0.69239,3.998767,
2020-02-13,SE-F,82.561563,3107121.396431,2343676.841428,0.68740600000001,4.4e-05,1.931539,3.3328870000000004,
2020-02-13,SE-G,86.215761,1629514.233831,2359978.159915,1.2735220000000709,0.00020099999999999998,0.724236,3.025083,
2020-02-13,SE-H,76.487658,3483600.2203059997,2382617.007441,1.9203640000000632,1.2e-05,1.76016,3.6101769999999997,
2020-02-13,SE-I,75.695748,4185659.30705,2400095.981911,2.8195330000000354,1e-06,1.9814470000000002,5.543723,
