metric,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
count,344.0,344.0,344.0,344.0,344.0
mean,119.51453488372093,3.520348837209302,2896712.0,0.004125868739582012,0.00012152912810142322
std,147.76699339238849,6.114041945870072,0.0,0.005101197267536037,0.00021106834044496217
min,1.0,0.0,2896712.0,3.452189931204759e-05,0.0
25%,13.75,0.0,2896712.0,0.00047467611554065435,0.0
50%,40.5,1.0,2896712.0,0.0013981369221379273,3.452189931204759e-05
75%,201.25,4.0,2896712.0,0.006947532236549577,0.00013808759724819036
max,665.0,37.0,2896712.0,0.022957063042511647,0.001277310274545761
