metric,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
count,375.0,375.0,375.0,375.0,375.0,375.0,375.0
mean,75.31077130133333,6372675.8933663275,2426230.058959597,10.309657093333367,0.0020829653333333336,15.671333314666652,3.6171275839999972
std,12.53048202353919,6227230.911533046,23812.540505846082,6.752713052842189,0.003291875119686017,14.461082291207898,1.424085417030513
min,38.394034999999995,5.499092,2345798.69697,-7.23011299999996,0.0,0.0,1.114394
25%,66.551135,712642.28705,2413674.898674,5.274785000000037,2.3500000000000002e-05,1.6060605,2.5977905
50%,76.31007,4338788.431818,2428168.520833,10.096145000000035,0.0005610000000000001,11.651515,3.391604
75%,85.48031850000001,11019342.965909,2440939.1695075,15.45904200000001,0.0027530000000000002,28.1515155,4.3429135
max,96.224585,23088932.621212,2491993.82197,26.037814000000026,0.022043,44.280303,9.201357000000002
