metric,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
count,353.0,353.0,353.0,353.0,353.0
mean,142.46742209631728,3.464589235127479,1841179.0,0.007737836576254521,0.00018817231975421617
std,159.97545865902393,5.285004344798864,0.0,0.008688750993739551,0.00028704457007161526
min,1.0,0.0,1841179.0,5.431302442619648e-05,0.0
25%,14.0,0.0,1841179.0,0.0007603823419667506,0.0
50%,77.0,1.0,1841179.0,0.0041821028808171285,5.431302442619648e-05
75%,224.0,6.0,1841179.0,0.01216611747146801,0.0003258781465571788
max,630.0,32.0,1841179.0,0.03421720538850378,0.0017380167816382873
