metric,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
count,356.0,356.0,356.0,356.0,356.0
mean,281.2303370786517,8.407303370786517,4084844.0,0.00688472649331655,0.00020581699988509998
std,353.1841681821737,13.685804407676295,0.0,0.008646209455787628,0.00033503860631339377
min,1.0,0.0,4084844.0,2.4480739044134856e-05,0.0
25%,25.0,0.0,4084844.0,0.0006120184761033714,0.0
50%,91.0,1.0,4084844.0,0.002227747253016272,2.4480739044134856e-05
75%,488.5,10.25,4084844.0,0.011958841023059876,0.00025092757520238227
max,1475.0,60.0,4084844.0,0.03610909009009891,0.0014688443426480913
