metric,absolute_infections,absolute_deaths,population,infections_(per_100.000),deaths_(per_100.000)
count,339.0,339.0,339.0,339.0,339.0
mean,173.0796460176991,6.76401179941003,2208321.0,7.837612648600412,0.3062965845730774
std,260.6829721729815,12.742688000077376,0.0,11.804577874909558,0.5770306037970647
min,1.0,0.0,2208321.0,0.045283271770725365,0.0
25%,7.0,0.0,2208321.0,0.31698290239507754,0.0
50%,26.0,0.0,2208321.0,1.1773650660388595,0.0
75%,281.0,6.0,2208321.0,12.724599367573827,0.27169963062435215
max,1077.0,75.0,2208321.0,48.770083697071215,3.3962453828044024
