metric,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
count,375.0,375.0,375.0,375.0,375.0,375.0,375.0
mean,70.92758812533336,6355187.479790403,2422096.4542517266,10.896177856000026,0.001621253333333333,16.919347338666675,3.5867441306666676
std,14.58484089177785,6082423.883003666,21939.92371638828,7.520945520188094,0.0030638093040679625,15.289715836212835,1.1922880135747658
min,36.394493,0.0,2348335.38986,-8.697231999999985,0.0,0.0,1.386859
25%,58.71537,931146.2681384999,2409763.4361889996,5.136030500000032,2.4e-05,2.1643355,2.7261800000000003
50%,73.183799,4107723.2552449997,2423306.8671330004,10.420946000000015,0.00031299999999999996,14.0,3.422086
75%,83.12931,11103142.118881501,2435770.021853,16.93678250000002,0.0017975,29.465035,4.2247815
max,96.76561600000001,22255692.167832002,2484800.3671330004,27.810922000000062,0.027601,46.0,8.541783
