metric,absolute_infections,absolute_deaths,population,infections_(per_100.000),deaths_(per_100.000)
count,370.0,370.0,370.0,370.0,370.0
mean,1159.4486486486487,32.76486486486486,13076721.0,8.866509032720424,0.2505587208357879
std,1417.6672387393728,46.465027302012956,0.0,10.841152294519187,0.35532628785161813
min,1.0,0.0,13076721.0,0.00764717699490568,0.0
25%,100.25,1.0,13076721.0,0.7666294937392945,0.00764717699490568
50%,414.5,6.0,13076721.0,3.1697548643884046,0.045883061969434084
75%,1856.25,53.75,13076721.0,14.195072296793668,0.4110357634761803
max,5724.0,207.0,13076721.0,43.77244111884011,1.5829656379454757
