metric,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
count,375.0,375.0,375.0,375.0,375.0,375.0,375.0
mean,75.7224050666666,7197036.477330517,2287627.3508755835,9.02300137066669,0.0028410293333333346,17.592123090666664,2.6834617440000006
std,12.923382166916658,6098864.459054652,19200.206331327685,7.448732549843438,0.003932913494168563,15.022495297731425,1.1052739946979777
min,39.455378,17657.696781,2212828.379699,-9.844220999999948,0.0,0.0009519999999999999,1.161299
25%,66.0899345,1811716.6128530002,2278427.247164,3.1087940000000174,9.999999999999999e-05,3.647633,1.9104364999999999
50%,78.193325,5288835.829651,2289846.1123740003,9.24697100000003,0.001066,15.074114000000002,2.348627
75%,86.6431515,11847171.4343435,2300340.7552610002,15.192471000000012,0.00412,28.267428,3.1948615
max,96.075074,22199122.003367003,2338833.272529,24.508613000000025,0.02484,50.055199,8.230143
