metric,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
count,337.0,337.0,337.0,337.0,337.0
mean,83.25222551928783,2.516320474777448,990509.0,0.008404994353336295,0.0002540431712157533
std,104.86952722582492,3.851468580986164,0.0,0.010587438097566494,0.0003888373130366472
min,1.0,0.0,990509.0,0.00010095819422135488,0.0
25%,5.0,0.0,990509.0,0.0005047909711067744,0.0
50%,27.0,1.0,990509.0,0.002725871243976582,0.00010095819422135488
75%,150.0,4.0,990509.0,0.015143729133203231,0.0004038327768854195
max,523.0,18.0,990509.0,0.05280113557776861,0.001817247495984388
